epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4565,1.06048,3.44811,1.28682,0.00333,1,0.40101,0.30014,0.73897,3.43291,1.03167,0.00022,0.00022,0.00022
2,175.122,0.87984,2.65492,1.05375,0.00616,0.97368,0.59245,0.46156,0.78416,3.16111,1.05202,0.000455446,0.000455446,0.000455446
3,262.139,0.87897,2.0431,1.04973,1,0.24082,0.74542,0.51083,0.9432,3.15024,1.24596,0.00068614,0.00068614,0.00068614
4,349.568,0.93483,1.88537,1.05911,0.70162,0.31579,0.54518,0.32308,1.27055,3.58016,1.65827,0.000912082,0.000912082,0.000912082
5,435.225,0.93668,1.83462,1.0777,0.79256,0.50281,0.58632,0.36508,1.0429,3.17925,1.38469,0.00113327,0.00113327,0.00113327
6,522.074,0.99608,1.71809,1.09254,0.47726,0.33654,0.36715,0.19778,1.24198,3.51809,1.81922,0.00134971,0.00134971,0.00134971
7,607.059,1.032,1.75828,1.1099,0.71364,0.57895,0.68736,0.43768,1.09427,2.97182,1.4704,0.0015614,0.0015614,0.0015614
8,694.856,0.99648,1.68412,1.10705,0.91592,0.47368,0.67022,0.43541,1.37216,2.78551,1.8727,0.00176833,0.00176833,0.00176833
9,765.766,0.94452,1.53146,1.10596,0.53659,0.67051,0.63176,0.41457,1.52582,3.5098,1.83367,0.0018416,0.0018416,0.0018416
10,837.933,1.03376,1.58336,1.15011,0.77807,0.63158,0.74982,0.51199,1.2179,2.9242,1.41873,0.0018218,0.0018218,0.0018218
11,963.639,0.98201,1.45066,1.11078,0.65197,0.59177,0.64057,0.42266,1.23719,3.40308,1.54938,0.001802,0.001802,0.001802
12,1060.09,0.94681,1.29368,1.08991,0.90812,0.55263,0.66452,0.49984,1.13011,2.53413,1.4489,0.0017822,0.0017822,0.0017822
13,1137.33,0.95379,1.27835,1.0933,0.59988,0.60526,0.6097,0.44063,1.29236,2.98965,1.68509,0.0017624,0.0017624,0.0017624
14,1212.7,0.87845,1.16749,1.05411,0.73398,0.76316,0.77433,0.53164,1.03863,2.1714,1.42995,0.0017426,0.0017426,0.0017426
15,1288.25,0.86117,1.18597,1.07616,0.54125,0.60526,0.59811,0.43945,1.03214,2.73197,1.43511,0.0017228,0.0017228,0.0017228
16,1363.15,0.93506,1.19209,1.07,0.69257,0.65223,0.6985,0.5012,1.08317,2.27766,1.56074,0.001703,0.001703,0.001703
17,1436.75,0.86018,1.05171,1.05729,0.92831,0.76316,0.91957,0.70529,0.84796,1.36857,1.26417,0.0016832,0.0016832,0.0016832
18,1517.86,0.86112,1.01139,1.04956,0.86159,0.92105,0.90656,0.65197,0.87492,1.20409,1.15734,0.0016634,0.0016634,0.0016634
19,1592.86,0.86387,1.04842,1.05859,0.90316,0.86842,0.90145,0.64708,0.98706,1.26169,1.25432,0.0016436,0.0016436,0.0016436
20,1666.01,0.82647,0.9917,1.06359,0.89141,0.64828,0.80948,0.61147,0.89418,1.53264,1.25249,0.0016238,0.0016238,0.0016238
21,1739.71,0.81386,0.98183,1.02872,0.88701,0.84211,0.91331,0.67047,0.85166,1.49346,1.19901,0.001604,0.001604,0.001604
22,1812.64,0.82689,0.96804,1.03994,0.90129,0.89474,0.93613,0.73327,0.69868,0.92182,1.10199,0.0015842,0.0015842,0.0015842
23,1887.72,0.82691,0.92308,1.04297,0.72957,0.55263,0.57933,0.43245,0.92306,1.59051,1.24494,0.0015644,0.0015644,0.0015644
24,1961.03,0.81127,0.84612,1.00627,0.64456,0.57895,0.65776,0.48964,0.90786,1.53205,1.26113,0.0015446,0.0015446,0.0015446
25,2035.7,0.80602,0.84314,1.03602,0.72318,0.84211,0.84213,0.62085,0.86043,1.15868,1.1977,0.0015248,0.0015248,0.0015248
26,2143.11,0.83156,0.8242,1.02721,0.94354,0.78947,0.90493,0.70443,0.75361,0.98976,1.07402,0.001505,0.001505,0.001505
27,2252.31,0.76578,0.7662,1.00313,1,0.78313,0.89729,0.65199,0.84208,0.99777,1.15281,0.0014852,0.0014852,0.0014852
