epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5697,0.58183,0.73755,1.03375,1.02951,0.17818,0.15417,0.08449,0.05803,0.17523,0.175,0.09093,0.06178,1.91112,4.16409,16.3056,2.01544,0.000551987,0.000551987,0.000551987
2,70.902,0.73442,0.54295,0.78911,1.08673,0.60148,0.125,0.09347,0.0608,0.60148,0.125,0.09347,0.06531,1.61658,2.73212,5.59568,1.78294,0.00110491,0.00110491,0.00110491
3,97.9209,0.74882,0.62063,0.78545,1.0898,0.33388,0.19167,0.15299,0.09145,0.33388,0.19167,0.153,0.1003,1.66981,1.76556,3.02595,1.63652,0.00165509,0.00165509,0.00165509
4,125.074,0.68827,0.54458,0.67561,1.04991,0.69232,0.20833,0.1647,0.10204,0.712,0.22917,0.18288,0.1032,1.42142,1.79966,4.53525,1.48983,0.00165462,0.00165462,0.00165462
5,151.963,0.59654,0.49713,0.61333,1.01507,0.74141,0.16667,0.23506,0.15275,0.74141,0.16667,0.23697,0.16141,1.57582,1.64269,2.81882,1.65704,0.0016505,0.0016505,0.0016505
6,178.881,0.56418,0.5062,0.58547,1.00039,0.29546,0.33262,0.21238,0.15459,0.29552,0.34692,0.21953,0.18252,1.23336,1.70032,2.5074,1.34638,0.00164637,0.00164637,0.00164637
7,205.781,0.50691,0.45308,0.53298,0.97533,0.32083,0.34167,0.30058,0.20915,0.32083,0.34167,0.30165,0.21145,1.21035,1.53997,2.72839,1.37318,0.00164225,0.00164225,0.00164225
8,232.889,0.49699,0.43821,0.54005,0.96878,0.3899,0.5,0.35726,0.25808,0.41729,0.52083,0.38628,0.26811,1.03535,1.18197,1.91818,1.2615,0.00163812,0.00163812,0.00163812
9,259.768,0.4969,0.44199,0.52996,0.96863,0.37245,0.51667,0.44154,0.30409,0.37245,0.51667,0.44154,0.33112,1.09843,1.11855,1.90784,1.31858,0.00163399,0.00163399,0.00163399
10,286.686,0.45016,0.37026,0.50259,0.94636,0.40142,0.50999,0.47719,0.32345,0.40142,0.50999,0.47971,0.35353,0.99113,1.16678,1.72902,1.20442,0.00162987,0.00162987,0.00162987
11,313.582,0.44816,0.3819,0.47278,0.94384,0.44091,0.35,0.37159,0.26087,0.44091,0.35,0.37159,0.2698,1.03601,1.16374,1.69648,1.23161,0.00162574,0.00162574,0.00162574
12,339.363,0.43102,0.36398,0.44611,0.93578,0.35166,0.47083,0.38633,0.29999,0.35166,0.47083,0.38633,0.31037,0.99753,1.09488,1.90038,1.21022,0.00162162,0.00162162,0.00162162
13,365.004,0.41365,0.35577,0.42997,0.93471,0.26997,0.49583,0.37275,0.28955,0.81573,0.33333,0.39459,0.30329,0.9417,1.10371,1.9031,1.22921,0.00161749,0.00161749,0.00161749
14,390.626,0.39445,0.3347,0.4209,0.92804,0.44599,0.55833,0.43037,0.31229,0.44599,0.55833,0.43086,0.33376,0.89242,1.19253,1.64746,1.16223,0.00161336,0.00161336,0.00161336
15,416.215,0.40579,0.32068,0.42132,0.92533,0.35487,0.54167,0.41968,0.32365,0.35487,0.54167,0.41776,0.32654,0.95979,1.1657,1.6493,1.20858,0.00160924,0.00160924,0.00160924
16,442.088,0.39524,0.31965,0.40489,0.92585,0.64882,0.44167,0.52334,0.38189,0.64882,0.44167,0.52459,0.40252,0.83033,1.08284,1.49169,1.14506,0.00160511,0.00160511,0.00160511
17,469.057,0.37935,0.32081,0.40476,0.92764,0.34924,0.66494,0.4957,0.37384,0.34924,0.66494,0.4957,0.37356,0.89337,1.17194,1.55968,1.14335,0.00160099,0.00160099,0.00160099
18,494.744,0.39505,0.35333,0.42878,0.92662,0.4796,0.6125,0.57694,0.47391,0.50108,0.63333,0.59222,0.48429,0.79402,1.05109,1.44011,1.10481,0.00159686,0.00159686,0.00159686
19,521.7,0.3708,0.32941,0.39202,0.91235,0.58227,0.67904,0.60905,0.51126,0.58227,0.67904,0.60905,0.51227,0.70993,0.96948,1.25212,1.07845,0.00159274,0.00159274,0.00159274
20,548.879,0.35485,0.3034,0.38825,0.91966,0.40678,0.56198,0.43854,0.34223,0.40678,0.56198,0.43854,0.34707,0.808,0.98944,2.01929,1.09789,0.00158861,0.00158861,0.00158861
21,574.542,0.37508,0.33612,0.3967,0.92603,0.49948,0.6875,0.4826,0.37814,0.49948,0.6875,0.48329,0.39494,0.81934,1.00316,1.62296,1.08865,0.00158448,0.00158448,0.00158448
22,600.211,0.3545,0.30889,0.3803,0.90682,0.59337,0.56886,0.60024,0.47635,0.57184,0.54826,0.5826,0.46648,0.83047,1.09781,1.47897,1.15485,0.00158036,0.00158036,0.00158036
23,626.019,0.35543,0.31214,0.36652,0.91491,0.7199,0.55833,0.62139,0.51005,0.7199,0.55833,0.62139,0.49989,0.82446,1.06359,1.22883,1.09388,0.00157623,0.00157623,0.00157623
24,651.653,0.35462,0.30444,0.34934,0.90952,0.48867,0.64288,0.565,0.45684,0.48867,0.64288,0.56709,0.44799,0.86758,1.11222,1.40301,1.1611,0.00157211,0.00157211,0.00157211
25,677.312,0.3337,0.29672,0.35417,0.90564,0.60921,0.64808,0.62328,0.50238,0.60921,0.64808,0.62328,0.49274,0.78165,1.04924,1.20034,1.14791,0.00156798,0.00156798,0.00156798
26,702.953,0.34096,0.30532,0.35115,0.90191,0.58765,0.6801,0.68005,0.55759,0.58765,0.6801,0.68005,0.5512,0.79557,1.01195,1.15885,1.11743,0.00156385,0.00156385,0.00156385
27,730.142,0.33648,0.28887,0.35513,0.9057,0.58449,0.77083,0.68819,0.53175,0.58449,0.77083,0.69772,0.52226,0.79139,1.01809,1.07276,1.13033,0.00155973,0.00155973,0.00155973
28,755.801,0.32854,0.27148,0.33274,0.8975,0.73404,0.67263,0.71755,0.57215,0.73404,0.67263,0.71755,0.54802,0.69936,0.99533,1.08287,1.0568,0.0015556,0.0015556,0.0015556
29,782.764,0.3508,0.29869,0.34703,0.90783,0.6323,0.60833,0.64425,0.53092,0.6323,0.60833,0.64915,0.53414,0.77967,0.99659,1.28591,1.18708,0.00155148,0.00155148,0.00155148
30,808.418,0.32636,0.26132,0.33271,0.90093,0.81313,0.69234,0.78147,0.6178,0.81313,0.69234,0.78147,0.6138,0.81536,1.03792,1.17812,1.16741,0.00154735,0.00154735,0.00154735
31,835.535,0.32234,0.26788,0.32886,0.89954,0.67421,0.72748,0.72586,0.57945,0.67421,0.72748,0.72586,0.59399,0.86129,0.95443,1.15069,1.12561,0.00154323,0.00154323,0.00154323
32,861.151,0.31822,0.25783,0.31276,0.89246,0.82026,0.77075,0.80967,0.66823,0.82026,0.77075,0.81338,0.66542,0.68746,0.93879,0.9396,1.05827,0.0015391,0.0015391,0.0015391
33,888.085,0.31793,0.28866,0.32313,0.89328,0.59529,0.75293,0.66967,0.53143,0.59529,0.75293,0.66967,0.50116,0.75331,1.08168,1.3785,1.08598,0.00153497,0.00153497,0.00153497
34,913.752,0.31776,0.28908,0.32837,0.90006,0.74811,0.6625,0.68745,0.58715,0.74811,0.6625,0.68788,0.57458,0.73091,0.92611,1.10012,1.07212,0.00153085,0.00153085,0.00153085
35,939.6,0.31818,0.27796,0.32937,0.89767,0.64535,0.76864,0.73348,0.61347,0.64535,0.76864,0.73502,0.57923,0.70333,0.98906,1.06663,1.05604,0.00152672,0.00152672,0.00152672
36,965.249,0.30618,0.24598,0.31272,0.89277,0.65174,0.77917,0.78968,0.67418,0.65174,0.77917,0.78968,0.64902,0.68034,0.93163,1.00557,1.00407,0.0015226,0.0015226,0.0015226
37,990.874,0.32441,0.26902,0.32174,0.89764,0.8028,0.75789,0.78578,0.67582,0.8028,0.75789,0.78578,0.6429,0.73696,0.91838,0.89598,1.0704,0.00151847,0.00151847,0.00151847
38,1016.73,0.31299,0.25033,0.32247,0.89269,0.84204,0.62529,0.69061,0.57927,0.84204,0.62529,0.69061,0.57565,0.70867,0.95945,1.19145,1.01588,0.00151434,0.00151434,0.00151434
39,1042.34,0.2971,0.24766,0.30667,0.88992,0.69113,0.657,0.73462,0.63333,0.69113,0.657,0.73462,0.63097,0.71761,0.94917,1.07316,1.02766,0.00151022,0.00151022,0.00151022
