epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.162,0.68332,1.15681,1.76659,1.13288,0.00143,0.38333,0.00112,0.00038,0.00096,0.25,0.00063,0.00021,2.74629,1236.37,inf,9.01078,0.000549423,0.000549423,0.000549423
2,49.0004,0.85967,0.87638,1.05521,1.25521,0.00046,0.10417,0.00027,0.00012,0.00046,0.10417,0.00027,0.00013,nan,nan,nan,nan,0.00110235,0.00110235,0.00110235
3,64.2977,0.88535,1.03348,0.91653,1.28486,0.25432,0.19167,0.08251,0.03023,0.25901,0.2125,0.09419,0.04492,nan,nan,nan,nan,0.00165254,0.00165254,0.00165254
4,79.897,0.82634,0.82004,0.84831,1.22634,0.18398,0.15417,0.0939,0.04806,0.16353,0.21667,0.10168,0.06023,2.50562,3.66997,6.39756,3.21325,0.00165462,0.00165462,0.00165462
5,95.4571,0.75094,0.79612,0.7648,1.16443,0.04577,0.34167,0.03369,0.01949,0.04577,0.34167,0.03749,0.02192,2.10165,2.99666,4.39687,2.13044,0.0016505,0.0016505,0.0016505
6,110.9,0.66828,0.72991,0.73304,1.10149,0.57006,0.10417,0.03218,0.01711,0.57006,0.10417,0.03283,0.01911,3.03249,4.3445,4.7347,3.60561,0.00164637,0.00164637,0.00164637
7,126.138,0.59119,0.64592,0.67242,1.05804,0.13944,0.63333,0.16884,0.10615,0.14524,0.56667,0.16524,0.11613,1.43381,12.3374,3.10747,1.57981,0.00164225,0.00164225,0.00164225
8,141.697,0.57783,0.6598,0.66495,1.03408,0.77551,0.3125,0.29799,0.18326,0.77551,0.3125,0.30037,0.18083,1.54331,1.5829,2.65681,1.62519,0.00163812,0.00163812,0.00163812
9,157.4,0.55532,0.62573,0.6158,1.00833,0.38041,0.34583,0.21364,0.13131,0.38041,0.34583,0.21502,0.1363,1.82323,1.40138,2.90948,1.79975,0.00163399,0.00163399,0.00163399
10,172.626,0.52887,0.59699,0.60432,1.00766,0.1784,0.59479,0.26344,0.18205,0.1784,0.59479,0.26344,0.18955,1.22327,1.48027,2.29432,1.34807,0.00162987,0.00162987,0.00162987
