epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9154,0.76477,1.335,1.94493,1.11334,0.17847,0.1,0.08916,0.06656,0.17847,0.1,0.08919,0.06175,1.40515,2.85277,14.1306,1.58386,0.000550835,0.000550835,0.000550835
2,41.9055,0.90735,0.89842,1.44849,1.19035,0.26965,0.24583,0.20823,0.13011,0.26965,0.24583,0.20819,0.1322,1.35335,1.73631,2.56954,1.43022,0.00110376,0.00110376,0.00110376
3,51.6937,1.0187,0.97464,1.35979,1.24129,0.25759,0.28333,0.13942,0.07328,0.25759,0.28333,0.14665,0.07989,1.753,2.26202,3.82613,1.78955,0.00165394,0.00165394,0.00165394
4,61.2385,1.01062,0.90058,1.26471,1.23114,0.13031,0.43721,0.16354,0.07859,0.12686,0.41715,0.16241,0.08234,1.49538,1.74447,2.79637,1.65508,0.00165462,0.00165462,0.00165462
5,70.8331,0.99229,0.93968,1.22594,1.21311,0.37735,0.32172,0.24016,0.16551,0.37735,0.32172,0.24565,0.1794,1.43695,1.56243,4.64069,1.49559,0.0016505,0.0016505,0.0016505
6,80.4989,0.96137,0.86138,1.11746,1.19138,0.42385,0.6,0.46042,0.28225,0.41421,0.575,0.43875,0.31546,1.25595,1.17928,3.5191,1.35197,0.00164637,0.00164637,0.00164637
7,90.1677,0.83815,0.81017,1.05356,1.13146,0.3712,0.50417,0.31416,0.16946,0.3712,0.50417,0.3146,0.17519,1.33483,1.49448,2.32865,1.43869,0.00164225,0.00164225,0.00164225
8,99.6503,0.86481,0.78471,1.10469,1.15217,0.45048,0.65417,0.55289,0.43257,0.45048,0.65417,0.55289,0.45416,1.10127,1.1488,1.93544,1.34431,0.00163812,0.00163812,0.00163812
9,109.571,0.8194,0.7668,0.94242,1.10881,0.35953,0.61282,0.44218,0.32228,0.35217,0.59443,0.43289,0.34314,1.13547,1.24385,2.54624,1.30632,0.00163399,0.00163399,0.00163399
10,119.115,0.79247,0.7431,0.95671,1.115,0.57537,0.57083,0.55608,0.40582,0.57537,0.57083,0.56458,0.43318,1.21292,1.22339,1.86896,1.30246,0.00162987,0.00162987,0.00162987
11,128.626,0.76298,0.78782,0.88949,1.07573,0.53904,0.475,0.48092,0.32561,0.53904,0.475,0.48092,0.3351,1.26444,1.38441,1.89388,1.39777,0.00162574,0.00162574,0.00162574
12,138.112,0.75334,0.72671,0.89648,1.08135,0.62135,0.5375,0.55952,0.4204,0.62135,0.5375,0.55725,0.44172,1.09464,1.14928,1.63904,1.26825,0.00162162,0.00162162,0.00162162
13,147.657,0.75805,0.70047,0.89918,1.06395,0.74318,0.55417,0.66541,0.49672,0.74318,0.55417,0.66541,0.49683,1.05127,1.37778,1.66782,1.20949,0.00161749,0.00161749,0.00161749
14,157.332,0.72518,0.70584,0.85917,1.07055,0.67047,0.50229,0.60514,0.45898,0.67047,0.50229,0.60514,0.47812,0.97581,0.97825,1.47775,1.20368,0.00161336,0.00161336,0.00161336
15,166.809,0.76122,0.76135,0.8319,1.08074,0.60021,0.66539,0.65547,0.49723,0.60021,0.66539,0.65547,0.4727,1.02302,1.3834,1.65823,1.23757,0.00160924,0.00160924,0.00160924
16,176.531,0.6912,0.70916,0.80554,1.03743,0.69875,0.64167,0.71114,0.56594,0.69875,0.64167,0.71085,0.57908,0.92352,1.1211,1.31185,1.19824,0.00160511,0.00160511,0.00160511
17,186.275,0.68211,0.69194,0.82831,1.04306,0.73394,0.57917,0.7246,0.51992,0.73394,0.57917,0.7246,0.52983,1.02863,1.08476,1.37028,1.15943,0.00160099,0.00160099,0.00160099
18,195.795,0.64868,0.68435,0.76975,1.01423,0.71884,0.65,0.72364,0.56139,0.71884,0.65,0.71522,0.5405,0.90821,1.17783,1.46672,1.10247,0.00159686,0.00159686,0.00159686
19,205.297,0.65075,0.62695,0.71605,1.0169,0.90121,0.54721,0.75177,0.56088,0.90121,0.54721,0.73053,0.56337,0.95015,1.1811,1.41765,1.17605,0.00159274,0.00159274,0.00159274
20,214.836,0.63329,0.68136,0.70542,1.01318,0.49939,0.57083,0.54036,0.41351,0.65745,0.45793,0.53061,0.41229,0.97268,1.16534,1.80159,1.22977,0.00158861,0.00158861,0.00158861
21,224.318,0.64398,0.69154,0.6973,1.01547,0.75535,0.79583,0.82834,0.62393,0.75535,0.79583,0.82588,0.61279,0.99496,1.2048,1.22526,1.19595,0.00158448,0.00158448,0.00158448
