epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6557,1.29079,2.60669,6.12285,1.41963,0.25776,0.175,0.15043,0.09291,0.25776,0.175,0.14977,0.10937,1.17719,1.923,4.36202,1.32913,0.000544981,0.000544981,0.000544981
2,50.6505,1.28612,1.64419,2.93923,1.39616,0.16026,0.35861,0.10365,0.05453,0.15773,0.33843,0.09751,0.05335,1.67503,4.40374,8.34736,1.7307,0.00109792,0.00109792,0.00109792
3,56.9853,1.34252,1.6857,2.60665,1.44947,0.01235,0.39167,0.00792,0.00366,0.01454,0.33333,0.00963,0.00523,2.00257,21.8226,98.5467,2.1343,0.00164812,0.00164812,0.00164812
4,62.8915,1.4876,1.67623,2.43876,1.5672,0.30259,0.25833,0.20865,0.1165,0.30259,0.25833,0.20593,0.12454,1.72158,5.04061,4.27024,2.04058,0.00165462,0.00165462,0.00165462
5,68.9948,1.37655,1.4563,2.01138,1.47811,0.49635,0.45591,0.44379,0.29049,0.49635,0.45591,0.4396,0.32088,1.57755,2.1467,2.22804,1.67451,0.0016505,0.0016505,0.0016505
6,75.1495,1.26338,1.35528,1.82635,1.37753,0.40572,0.37083,0.33648,0.24778,0.43743,0.32083,0.33658,0.26673,1.45429,1.95152,3.69451,1.54256,0.00164637,0.00164637,0.00164637
7,81.2597,1.30149,1.36697,1.73953,1.40562,0.27356,0.61812,0.4033,0.25368,0.29937,0.62063,0.43001,0.29355,1.35683,1.32349,4.85242,1.47881,0.00164225,0.00164225,0.00164225
8,87.1697,1.24241,1.32328,1.63597,1.3542,0.64582,0.59238,0.55968,0.37103,0.64602,0.58778,0.59751,0.4002,1.39365,1.73814,2.29432,1.61609,0.00163812,0.00163812,0.00163812
9,93.2652,1.18808,1.16471,1.45497,1.33398,0.60911,0.5616,0.53879,0.30847,0.60911,0.5616,0.539,0.34103,1.45567,1.52235,2.15983,1.65303,0.00163399,0.00163399,0.00163399
10,99.3775,1.14703,1.18165,1.37141,1.31003,0.47103,0.52083,0.4805,0.31853,0.44954,0.54167,0.48168,0.34215,1.26083,1.27331,3.12813,1.40673,0.00162987,0.00162987,0.00162987
11,105.316,1.0797,1.15164,1.28753,1.25412,0.30206,0.44574,0.32282,0.22724,0.30206,0.44574,0.32238,0.22778,1.37119,1.68576,5.31135,1.4634,0.00162574,0.00162574,0.00162574
12,111.216,0.98311,1.11753,1.25265,1.20122,0.53538,0.50833,0.50481,0.34897,0.6391,0.47774,0.52798,0.37925,1.17136,1.42064,2.80853,1.35662,0.00162162,0.00162162,0.00162162
13,117.166,1.00364,1.07954,1.16897,1.18154,0.54711,0.44393,0.49759,0.33285,0.53084,0.42405,0.48405,0.3504,1.27543,1.16226,3.37202,1.44122,0.00161749,0.00161749,0.00161749
14,123.068,1.01484,1.0649,1.22935,1.19421,0.48942,0.5795,0.5203,0.35561,0.48445,0.55505,0.51823,0.3804,1.28393,1.35012,3.8803,1.47468,0.00161336,0.00161336,0.00161336
