epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7643,1.21547,2.33442,3.62361,1.39035,0.12166,0.12083,0.03682,0.03033,0.17542,0.02292,0.01514,0.00653,2.27981,29.9021,21.4416,3.23411,0.00041675,0.00041675,0.00041675
2,38.2515,1.31234,1.78137,2.60714,1.42798,0.00014,0.05,8e-05,3e-05,0,0,0,0,nan,nan,nan,nan,0.000848066,0.000848066,0.000848066
3,47.9019,1.40103,1.70568,2.38611,1.4718,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00127724,0.00127724,0.00127724
4,57.6805,1.40914,1.56064,2.20891,1.5421,0.00018,0.0625,0.00013,3e-05,0,0,0,0,nan,nan,nan,nan,0.00165462,0.00165462,0.00165462
5,67.4566,1.36732,1.60496,2.02337,1.52311,0.50023,0.07292,0.00012,2e-05,0.50023,0.0625,0.00012,2e-05,nan,nan,nan,nan,0.0016505,0.0016505,0.0016505
6,77.4636,1.34794,1.54676,1.8282,1.48786,0.09472,0.06458,0.0092,0.00249,0.51285,0.02083,0.0052,0.00153,3.50118,440.688,10.5637,7.99288,0.00164637,0.00164637,0.00164637
7,87.2612,1.31253,1.62071,1.86236,1.45711,0.58567,0.36458,0.19211,0.10516,0.58567,0.36458,0.18684,0.11053,1.5489,2.80201,9.44406,1.90755,0.00164225,0.00164225,0.00164225
8,98.3886,1.24848,1.53086,1.66278,1.41397,0.16247,0.52917,0.13192,0.05857,0.16354,0.55,0.13426,0.05414,1.71468,2.91568,13.0052,2.05086,0.00163812,0.00163812,0.00163812
9,108.198,1.23717,1.42627,1.61619,1.43026,0.3325,0.475,0.18624,0.10899,0.33305,0.48542,0.18892,0.11208,1.58904,2.9003,16.7266,1.95907,0.00163399,0.00163399,0.00163399
10,119.368,1.15668,1.36759,1.47202,1.35878,0.28767,0.11667,0.12487,0.09285,0.33407,0.12708,0.12615,0.09374,nan,nan,nan,nan,0.00162987,0.00162987,0.00162987
11,129.188,1.18436,1.45955,1.49421,1.35168,0.5757,0.39167,0.37251,0.24357,0.54602,0.42321,0.36167,0.22936,1.27819,2.19848,2.88783,1.61338,0.00162574,0.00162574,0.00162574
12,140.313,1.15012,1.26967,1.4857,1.34518,0.23052,0.175,0.10546,0.05885,0.22136,0.18542,0.10555,0.05856,1.58686,2.27711,4.65099,1.85693,0.00162162,0.00162162,0.00162162
13,150.096,1.10038,1.29404,1.42037,1.31079,0.4704,0.33834,0.30664,0.21784,0.4704,0.33834,0.30828,0.22755,1.23779,1.43384,3.44685,1.48245,0.00161749,0.00161749,0.00161749
14,159.937,1.05063,1.22886,1.31644,1.25591,0.65255,0.52817,0.54765,0.37723,0.66411,0.53958,0.54117,0.35187,1.18242,2.30882,2.29711,1.49627,0.00161336,0.00161336,0.00161336
15,171.229,1.03846,1.16403,1.21066,1.23989,0.57947,0.56667,0.51615,0.33154,0.57947,0.56667,0.51615,0.34562,1.20299,1.24022,2.40647,1.51158,0.00160924,0.00160924,0.00160924
16,181.037,1.1076,1.26129,1.36194,1.29159,0.37375,0.50901,0.39529,0.30273,0.37375,0.50901,0.39539,0.30337,1.04111,1.19106,6.43468,1.39193,0.00160511,0.00160511,0.00160511
17,190.803,1.09222,1.16338,1.26911,1.30178,0.55472,0.61117,0.50331,0.33749,0.57817,0.63333,0.5147,0.34355,1.07304,1.27707,2.74746,1.42169,0.00160099,0.00160099,0.00160099
18,200.61,1.01495,1.20527,1.18363,1.25255,0.44948,0.51156,0.49141,0.33887,0.44925,0.51458,0.4924,0.35154,1.01655,1.12402,2.62846,1.33358,0.00159686,0.00159686,0.00159686
19,210.359,0.97314,1.15807,1.11213,1.20834,0.64549,0.66667,0.60577,0.38404,0.64549,0.66667,0.60577,0.3971,1.05045,1.37549,2.47904,1.4461,0.00159274,0.00159274,0.00159274
20,221.623,0.93772,1.05293,1.06259,1.17657,0.64772,0.66875,0.66978,0.48425,0.64217,0.66875,0.67475,0.49081,1.04753,1.1208,1.28138,1.36983,0.00158861,0.00158861,0.00158861
21,232.707,0.95441,1.04511,1.05121,1.19481,0.41109,0.53125,0.45189,0.35003,0.41823,0.54375,0.4537,0.35555,1.0107,1.08395,2.43622,1.34,0.00158448,0.00158448,0.00158448
22,242.529,0.94589,1.07986,1.08029,1.20592,0.40723,0.50417,0.44467,0.3149,0.40723,0.50417,0.4462,0.32033,1.01065,1.15019,2.32573,1.3122,0.00158036,0.00158036,0.00158036
23,252.303,0.88249,1.00472,1.00002,1.13865,0.44824,0.54281,0.42221,0.33109,0.44824,0.54281,0.42221,0.33384,1.04671,1.24112,2.97824,1.31472,0.00157623,0.00157623,0.00157623
24,262.123,0.91936,1.04165,0.96468,1.16238,0.6465,0.67392,0.71682,0.5232,0.6465,0.67392,0.71682,0.53974,0.93952,1.12098,1.18141,1.3032,0.00157211,0.00157211,0.00157211
25,273.386,0.89393,0.98863,0.93632,1.17391,0.77115,0.68283,0.81152,0.54457,0.77115,0.68283,0.81093,0.56735,1.00194,0.96205,1.19486,1.33594,0.00156798,0.00156798,0.00156798
26,284.438,0.95077,1.08314,0.99044,1.20974,0.66344,0.67126,0.70031,0.51395,0.68304,0.64383,0.67187,0.49597,0.97439,1.52051,1.32796,1.27902,0.00156385,0.00156385,0.00156385
27,294.203,0.88855,1.02807,0.97754,1.14634,0.71238,0.72849,0.74612,0.54734,0.71238,0.72849,0.74652,0.56249,0.88747,1.02389,1.16387,1.19166,0.00155973,0.00155973,0.00155973
28,303.994,0.86767,0.93363,0.93185,1.12571,0.76075,0.68091,0.72821,0.50886,0.7469,0.66742,0.71031,0.51382,0.97704,1.18582,1.25461,1.25693,0.0015556,0.0015556,0.0015556
29,313.912,0.8805,1.03065,0.8923,1.14858,0.735,0.72017,0.78794,0.57862,0.735,0.72017,0.78794,0.58128,0.87298,1.21187,1.12172,1.17827,0.00155148,0.00155148,0.00155148
30,324.99,0.8529,0.95044,0.89902,1.1185,0.83613,0.64375,0.74406,0.56468,0.83613,0.64375,0.7418,0.5652,0.83057,1.03715,1.3083,1.16546,0.00154735,0.00154735,0.00154735
31,334.788,0.86182,0.98616,0.86184,1.13973,0.87863,0.85446,0.92419,0.68196,0.87863,0.85446,0.92664,0.69074,0.82461,0.94018,0.84796,1.16673,0.00154323,0.00154323,0.00154323
