epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5231,1.17207,2.1976,3.55097,1.28586,0.00299,0.8125,0.29005,0.21279,0.00297,0.81458,0.29339,0.21737,0.89083,1.66506,3.23142,1.10297,0.00041675,0.00041675,0.00041675
2,40.3485,1.11545,1.40216,2.67091,1.19717,0.00313,0.9125,0.35479,0.21245,0.00305,0.8875,0.35736,0.2376,1.09856,3.86751,3.00683,1.22503,0.000848066,0.000848066,0.000848066
3,44.9748,1.12335,1.35788,2.35449,1.17376,0.23163,0.3625,0.17403,0.09101,0.22788,0.3625,0.16998,0.10532,1.40019,5.85459,2.94307,1.56451,0.00127724,0.00127724,0.00127724
4,49.4044,1.11252,1.28672,2.1621,1.15838,0.30488,0.30003,0.19766,0.11404,0.28295,0.27708,0.19059,0.09073,1.35058,8.83638,2.97868,1.48427,0.00165462,0.00165462,0.00165462
5,53.7178,1.09735,1.31636,1.92085,1.15991,0.75612,0.05625,0.12867,0.07653,0.41222,0.03125,0.0973,0.06312,1.90342,19.4533,3.27431,1.92647,0.0016505,0.0016505,0.0016505
6,58.1156,1.05486,1.2888,1.74803,1.14228,0.01343,0.19167,0.01008,0.00657,0.01343,0.19167,0.00992,0.00629,1.28735,2.99803,24.3535,1.39214,0.00164637,0.00164637,0.00164637
7,62.4831,1.09253,1.32346,1.73678,1.15336,0.36652,0.31604,0.2896,0.22458,0.36652,0.31604,0.27968,0.22654,1.13124,2.66067,4.29385,1.28835,0.00164225,0.00164225,0.00164225
8,67.0314,1.04924,1.24092,1.57673,1.14304,0.31596,0.40417,0.29436,0.21016,0.31173,0.39375,0.28642,0.20703,1.23592,1.71503,2.75363,1.2946,0.00163812,0.00163812,0.00163812
9,71.3023,1.01589,1.13114,1.45843,1.12023,0.54121,0.4859,0.50524,0.37644,0.94664,0.38542,0.50137,0.3995,1.0047,1.7305,2.04952,1.30394,0.00163399,0.00163399,0.00163399
10,75.8108,1.01214,1.15689,1.4254,1.11231,0.72857,0.66203,0.70495,0.52158,0.72857,0.66203,0.70472,0.52006,0.99246,1.18984,1.91004,1.1965,0.00162987,0.00162987,0.00162987
11,80.2798,0.97646,1.09334,1.2885,1.0797,0.65466,0.70292,0.76232,0.5435,0.65466,0.70292,0.76232,0.55737,0.95686,1.02003,1.54003,1.16444,0.00162574,0.00162574,0.00162574
12,84.7527,0.92678,1.03234,1.22297,1.04879,0.65883,0.44324,0.41314,0.31089,0.65883,0.44324,0.41156,0.3242,1.1773,1.38674,2.21464,1.32825,0.00162162,0.00162162,0.00162162
