epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7271,1.2338,2.4921,4.62978,1.36236,0.59102,0.35625,0.37101,0.27833,0.59102,0.35625,0.36788,0.27774,1.1408,3.09434,3.79806,1.3274,0.00041675,0.00041675,0.00041675
2,41.5056,1.10823,1.46788,2.305,1.21091,0.01824,0.05,0.00416,0.00084,0.01824,0.05,0.00318,0.00082,3.46196,204.288,10.6207,6.57986,0.000848066,0.000848066,0.000848066
3,47.3577,1.18896,1.46795,1.97286,1.30233,0.03772,0.06875,0.01258,0.00356,0.05368,0.06875,0.01473,0.00545,3.03592,41.8236,13.0296,4.56574,0.00127724,0.00127724,0.00127724
4,52.962,1.20803,1.40509,1.82185,1.27965,0.03297,0.01042,0.0018,0.00059,0.03297,0.01042,0.00167,0.00061,4.07902,340.993,33.4893,12.1819,0.00165462,0.00165462,0.00165462
5,58.5788,1.18609,1.37357,1.51209,1.236,0.94182,0.01042,0.01478,0.00679,0.94182,0.01042,0.01277,0.00383,3.69553,515.016,5.37223,4.27043,0.0016505,0.0016505,0.0016505
6,64.1504,1.18131,1.35426,1.41359,1.25098,0.09813,0.03542,0.00969,0.00203,0.02127,0.05833,0.00357,0.00071,nan,nan,nan,nan,0.00164637,0.00164637,0.00164637
7,69.8519,1.17642,2.25139,1.55882,1.22801,0.26045,0.39375,0.18,0.11013,0.26045,0.39375,0.18588,0.11244,1.55728,6.84999,3.80378,1.78309,0.00164225,0.00164225,0.00164225
8,75.4604,1.12133,1.35886,1.4714,1.20563,0.39053,0.32917,0.32429,0.20384,0.39053,0.32917,0.29941,0.19302,1.49131,6.62191,8.14391,1.57011,0.00163812,0.00163812,0.00163812
9,81.0317,1.07804,1.25836,1.31121,1.18638,0.58869,0.33542,0.33871,0.25257,0.58869,0.33542,0.33843,0.26083,1.19507,1.7535,3.23618,1.40347,0.00163399,0.00163399,0.00163399
10,86.8092,1.04834,1.20471,1.24091,1.1583,0.71166,0.42051,0.46088,0.32844,0.69471,0.3979,0.39184,0.25049,1.11725,3.26306,2.11568,1.23498,0.00162987,0.00162987,0.00162987
11,92.5161,1.04264,1.23854,1.17331,1.14894,0.71648,0.65793,0.67009,0.47312,0.66117,0.61492,0.62729,0.42526,1.0403,2.32782,1.55467,1.22443,0.00162574,0.00162574,0.00162574
12,98.2389,1.01079,1.1032,1.11628,1.11573,0.54537,0.59792,0.57398,0.41556,0.54537,0.59792,0.57916,0.42307,1.0413,1.53561,1.93983,1.25106,0.00162162,0.00162162,0.00162162
13,103.776,0.99742,1.14941,1.15388,1.14288,0.69519,0.65417,0.63518,0.45975,0.69519,0.65417,0.63518,0.48135,0.95621,1.1256,4.28453,1.1724,0.00161749,0.00161749,0.00161749
