epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5334,1.3508,2.92762,5.03815,1.59142,0.19559,0.07083,0.05479,0.02649,0.19462,0.05,0.05447,0.0344,2.91904,145.215,59.9156,7.4063,0.00041675,0.00041675,0.00041675
2,40.786,1.63429,2.21377,3.79045,1.68774,0.00011,0.025,6e-05,3e-05,0,0,0,0,nan,nan,nan,nan,0.000848066,0.000848066,0.000848066
3,46.6297,1.76773,2.79831,3.72007,1.83997,0.00252,0.1125,0.00183,0.00071,0.00329,0.1125,0.00185,0.00078,nan,nan,nan,nan,0.00127724,0.00127724,0.00127724
4,52.5786,2.30382,2.66121,3.67892,2.19106,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00165462,0.00165462,0.00165462
5,58.1389,2.05807,2.20501,3.51032,2.08177,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016505,0.0016505,0.0016505
6,63.8967,1.925,2.11146,3.30576,1.98918,0.00133,0.04583,0.00084,0.00017,0.00133,0.04583,0.00084,0.00023,nan,nan,nan,nan,0.00164637,0.00164637,0.00164637
7,69.55,1.8966,2.01024,2.84229,1.90306,0.07002,0.19167,0.01385,0.00564,0.07002,0.19167,0.01384,0.00595,3.98039,609.224,inf,20.7279,0.00164225,0.00164225,0.00164225
8,75.4217,1.67302,1.95802,2.55461,1.78994,0.6534,0.0625,0.05089,0.03731,0.6534,0.0625,0.051,0.0382,nan,nan,nan,nan,0.00163812,0.00163812,0.00163812
9,81.62,1.60836,1.86923,2.43658,1.76704,0.68565,0.08333,0.10248,0.06101,0.68565,0.08333,0.10277,0.07867,2.48728,2.28389,9.4767,2.82014,0.00163399,0.00163399,0.00163399
10,87.6461,1.49301,1.72853,2.21567,1.64609,0.11142,0.10833,0.02891,0.01459,0.06878,0.0625,0.02474,0.01587,2.85215,2.64568,6.71878,3.06374,0.00162987,0.00162987,0.00162987
11,93.5136,1.47595,1.73139,2.09416,1.60523,0.65503,0.1875,0.16844,0.10425,0.65503,0.1875,0.17262,0.12753,2.04163,2.36415,4.65506,2.24552,0.00162574,0.00162574,0.00162574
12,99.491,1.42922,1.64479,2.08068,1.58172,0.20876,0.4125,0.2316,0.15146,0.20876,0.4125,0.22719,0.15776,1.66702,2.10717,4.34125,1.80404,0.00162162,0.00162162,0.00162162
13,105.619,1.41163,1.51933,1.98019,1.56238,0.11243,0.0625,0.03871,0.0252,0.11243,0.0625,0.03787,0.02896,nan,nan,nan,nan,0.00161749,0.00161749,0.00161749
14,111.296,1.32842,1.63709,1.94377,1.51043,0.12341,0.0625,0.05612,0.04476,0.12341,0.0625,0.0558,0.04968,nan,nan,nan,nan,0.00161336,0.00161336,0.00161336
15,116.937,1.29974,1.49054,1.94299,1.49622,0.26175,0.17083,0.12464,0.08453,0.26175,0.17083,0.1276,0.09475,nan,nan,nan,nan,0.00160924,0.00160924,0.00160924
16,122.603,1.22389,1.4677,1.79763,1.42326,0.39494,0.3875,0.32499,0.25017,0.39494,0.3875,0.32192,0.26233,1.31641,1.5104,3.19544,1.54059,0.00160511,0.00160511,0.00160511
17,128.783,1.21463,1.46334,1.73553,1.42272,0.35387,0.41178,0.32918,0.21858,0.35387,0.41178,0.32996,0.23076,1.62313,1.54203,2.99519,1.8995,0.00160099,0.00160099,0.00160099
18,134.473,1.16279,1.45029,1.69265,1.37633,0.56827,0.32083,0.29858,0.19839,0.56827,0.32083,0.29838,0.21232,1.40037,1.57585,3.18628,1.65091,0.00159686,0.00159686,0.00159686
19,140.134,1.07367,1.2787,1.55326,1.34504,0.26818,0.59583,0.34843,0.23413,0.26818,0.59583,0.34966,0.25307,1.41647,1.41986,2.32213,1.5089,0.00159274,0.00159274,0.00159274
20,145.795,1.07319,1.27613,1.56566,1.33983,0.10734,0.50417,0.1651,0.10888,0.10734,0.50417,0.16435,0.11497,1.36967,1.71079,3.51747,1.60645,0.00158861,0.00158861,0.00158861
21,151.465,1.07262,1.26343,1.54487,1.31206,0.28856,0.47083,0.3589,0.23972,0.28856,0.47083,0.3589,0.23769,1.19187,1.47319,2.22962,1.42273,0.00158448,0.00158448,0.00158448
22,157.174,1.07159,1.27072,1.45008,1.26274,0.54608,0.3875,0.42289,0.31431,0.49252,0.4125,0.43228,0.33637,1.31098,1.33731,2.10311,1.48818,0.00158036,0.00158036,0.00158036
23,163.335,1.06613,1.20286,1.44615,1.31277,0.33832,0.51685,0.37952,0.2483,0.26037,0.54167,0.34346,0.24595,1.13059,1.3327,2.1623,1.34721,0.00157623,0.00157623,0.00157623
24,169.016,0.99932,1.18482,1.39336,1.25974,0.36377,0.64112,0.45265,0.31346,0.36377,0.64112,0.45276,0.33866,1.23062,1.5184,1.77848,1.36531,0.00157211,0.00157211,0.00157211
25,174.975,1.00112,1.11756,1.39192,1.24115,0.5288,0.5375,0.50591,0.31919,0.5288,0.5375,0.50826,0.34635,1.28882,1.3767,1.97701,1.46819,0.00156798,0.00156798,0.00156798
26,181.001,1.00782,1.20709,1.3203,1.25508,0.3984,0.43485,0.42685,0.29646,0.3984,0.43485,0.42692,0.31941,1.16329,1.34831,2.09455,1.41151,0.00156385,0.00156385,0.00156385
27,186.767,0.92767,1.13526,1.33246,1.19752,0.42384,0.58281,0.48305,0.34128,0.39416,0.54801,0.46532,0.35313,1.20028,1.36149,2.28746,1.43541,0.00155973,0.00155973,0.00155973
28,192.901,0.95327,1.25068,1.32728,1.22375,0.47096,0.46808,0.42748,0.29169,0.48877,0.48939,0.43849,0.29403,1.37762,1.54692,2.35186,1.53223,0.0015556,0.0015556,0.0015556
29,198.564,0.9334,1.18788,1.25082,1.24224,0.40984,0.61667,0.50259,0.37385,0.43342,0.6375,0.5109,0.38367,1.16537,1.2488,1.74086,1.46465,0.00155148,0.00155148,0.00155148
30,204.619,0.96681,1.18286,1.32746,1.23199,0.38506,0.5375,0.48907,0.35026,0.44484,0.51698,0.50251,0.3727,1.10166,1.25553,1.64168,1.31396,0.00154735,0.00154735,0.00154735
31,210.311,0.93027,1.09802,1.14735,1.20616,0.48255,0.73333,0.6078,0.42994,0.48255,0.73333,0.60838,0.44553,1.06201,1.27412,1.88599,1.31315,0.00154323,0.00154323,0.00154323
32,216.354,0.88612,1.0761,1.10619,1.16626,0.54269,0.5625,0.5474,0.38904,0.54269,0.5625,0.53576,0.36911,1.15437,1.61418,2.22548,1.47003,0.0015391,0.0015391,0.0015391
33,222.194,0.89695,0.98307,1.08102,1.18336,0.67856,0.51231,0.58063,0.40559,0.67856,0.51231,0.57142,0.42047,1.08869,1.37111,1.50442,1.33477,0.00153497,0.00153497,0.00153497
34,227.87,0.88237,1.06119,1.04151,1.13983,0.40026,0.58101,0.45585,0.33344,0.40026,0.58101,0.45585,0.33088,1.06456,1.35384,1.79886,1.35592,0.00153085,0.00153085,0.00153085
35,233.519,0.87766,1.09112,1.03154,1.15891,0.51043,0.27917,0.34215,0.26274,0.51043,0.27917,0.34215,0.26441,1.24796,1.42187,2.67694,1.41465,0.00152672,0.00152672,0.00152672
36,239.175,0.86309,1.01365,1.03563,1.14211,0.52352,0.34583,0.42401,0.33712,0.29509,0.65833,0.43875,0.33811,1.16763,1.4696,1.97039,1.42889,0.0015226,0.0015226,0.0015226
37,244.848,0.84085,1.01667,1.04442,1.11871,0.57072,0.59583,0.51406,0.36988,0.57072,0.59583,0.51239,0.38889,1.08963,1.28137,1.71732,1.33302,0.00151847,0.00151847,0.00151847
38,250.66,0.80099,0.92041,0.9886,1.10385,0.60287,0.59167,0.60111,0.42191,0.58593,0.60393,0.6178,0.42577,1.19053,1.27102,1.66327,1.46373,0.00151434,0.00151434,0.00151434
39,256.321,0.84275,0.91964,0.98454,1.15453,0.51022,0.525,0.53078,0.41091,0.45361,0.63635,0.53142,0.40926,1.12203,1.1575,1.5404,1.37735,0.00151022,0.00151022,0.00151022
40,261.986,0.80099,0.91526,0.95298,1.09899,0.46691,0.58333,0.50134,0.39217,0.46691,0.58333,0.49712,0.40104,1.06969,1.1235,1.67613,1.33193,0.00150609,0.00150609,0.00150609
41,267.644,0.83849,0.97329,0.94418,1.14129,0.60048,0.6125,0.64886,0.48393,0.60048,0.6125,0.63418,0.4934,0.94125,1.09115,1.29233,1.24433,0.00150197,0.00150197,0.00150197
42,273.671,0.82165,0.92802,0.92558,1.1106,0.62735,0.7625,0.72648,0.50908,0.62735,0.7625,0.72511,0.56152,1.15045,1.10866,1.20338,1.34631,0.00149784,0.00149784,0.00149784
43,279.643,0.80696,0.97696,0.9153,1.10069,0.61545,0.5461,0.6082,0.44509,0.61545,0.5461,0.60577,0.45305,1.05739,1.12494,1.58463,1.29931,0.00149372,0.00149372,0.00149372
44,285.468,0.77573,0.9131,0.84358,1.07131,0.63412,0.75533,0.74698,0.55827,0.63412,0.75533,0.75101,0.57837,0.97233,1.09455,1.16911,1.26188,0.00148959,0.00148959,0.00148959
45,291.421,0.78272,0.93727,0.88015,1.078,0.64756,0.74898,0.72943,0.55035,0.64756,0.74898,0.73231,0.53611,1.02771,1.07702,1.22651,1.32015,0.00148546,0.00148546,0.00148546
46,297.106,0.77264,0.865,0.90179,1.10124,0.48178,0.74167,0.59415,0.42758,0.48178,0.74167,0.59415,0.45079,1.03913,1.09439,1.46567,1.27062,0.00148134,0.00148134,0.00148134
47,302.73,0.74148,0.93569,0.82519,1.06775,0.50237,0.71667,0.63977,0.49882,0.50237,0.71667,0.64163,0.48527,0.96824,1.19421,1.18824,1.24696,0.00147721,0.00147721,0.00147721
48,308.393,0.72744,0.86379,0.8362,1.05619,0.69479,0.50885,0.64783,0.47339,0.708,0.50833,0.63943,0.49007,0.92572,1.13417,1.38309,1.24137,0.00147309,0.00147309,0.00147309
49,314.398,0.76628,0.92821,0.85107,1.08342,0.71717,0.6,0.65318,0.46907,0.71841,0.57917,0.63662,0.48349,1.07139,1.0684,1.32502,1.33388,0.00146896,0.00146896,0.00146896
50,320.119,0.75975,0.87164,0.78336,1.07746,0.57334,0.61667,0.58938,0.45303,0.51534,0.59167,0.57405,0.45109,0.91869,1.08484,1.31162,1.27389,0.00146483,0.00146483,0.00146483
51,325.78,0.75995,0.95104,0.79259,1.06509,0.59324,0.58333,0.62713,0.47888,0.60597,0.5875,0.6135,0.47848,0.98206,1.10887,1.25118,1.2453,0.00146071,0.00146071,0.00146071
52,331.427,0.73478,0.80857,0.72518,1.06002,0.59169,0.7125,0.63319,0.51243,0.59169,0.7125,0.63005,0.49868,0.95639,1.22183,1.2735,1.2652,0.00145658,0.00145658,0.00145658
53,337.068,0.71283,0.78954,0.71901,1.02865,0.74346,0.70514,0.69771,0.54432,0.74346,0.70514,0.69815,0.56169,0.89363,1.07862,1.12245,1.17753,0.00145246,0.00145246,0.00145246
54,342.732,0.71258,0.86409,0.71953,1.04528,0.52482,0.6798,0.63372,0.47877,0.52482,0.6798,0.63372,0.50075,0.97383,1.16895,1.53349,1.23852,0.00144833,0.00144833,0.00144833
55,348.553,0.70115,0.78277,0.68524,1.01253,0.72779,0.55833,0.62405,0.49056,0.72779,0.55833,0.62405,0.49963,0.89563,1.07824,1.20385,1.18781,0.00144421,0.00144421,0.00144421
56,354.197,0.69388,0.81445,0.67893,1.02417,0.5833,0.69518,0.60925,0.4823,0.5833,0.69518,0.6163,0.48754,0.9829,1.02027,1.19497,1.2451,0.00144008,0.00144008,0.00144008
57,359.843,0.64994,0.85055,0.65664,1.01254,0.66417,0.72917,0.69024,0.54534,0.64789,0.70833,0.67781,0.55356,0.94232,1.06947,1.28672,1.25955,0.00143595,0.00143595,0.00143595
58,365.728,0.64614,0.82976,0.66757,0.99588,0.66965,0.575,0.65394,0.52475,0.66965,0.575,0.65925,0.5255,0.91901,1.0019,1.36701,1.21999,0.00143183,0.00143183,0.00143183
59,371.394,0.63807,0.82772,0.63854,0.99755,0.77856,0.6125,0.6938,0.53909,0.77856,0.6125,0.697,0.53788,0.96212,1.11763,1.24418,1.2692,0.0014277,0.0014277,0.0014277
60,377.042,0.63547,0.82297,0.59598,0.98255,0.74489,0.66667,0.70274,0.52967,0.74489,0.66667,0.70274,0.5468,1.00214,0.97121,1.2485,1.2802,0.00142358,0.00142358,0.00142358
61,382.854,0.65854,0.80285,0.62965,0.99665,0.65874,0.75331,0.70435,0.52834,0.65874,0.75331,0.70667,0.54022,1.00219,0.9581,1.11503,1.26267,0.00141945,0.00141945,0.00141945
62,388.547,0.68941,0.77037,0.64596,1.00889,0.68751,0.63675,0.67426,0.52535,0.68751,0.63675,0.67426,0.5396,0.97444,1.01642,1.13416,1.27289,0.00141532,0.00141532,0.00141532
63,394.187,0.63521,0.71686,0.59332,0.99214,0.60343,0.7375,0.68578,0.51628,0.60343,0.7375,0.68578,0.51324,1.00878,1.04991,1.20955,1.30928,0.0014112,0.0014112,0.0014112
64,399.878,0.67529,0.75554,0.61407,1.02838,0.56079,0.64564,0.67804,0.50563,0.56079,0.64564,0.67804,0.51833,0.9602,1.10482,1.35802,1.25761,0.00140707,0.00140707,0.00140707
