epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9769,1.26269,2.41276,3.70446,1.38966,0.1117,0.11038,0.06181,0.04034,0.1117,0.11038,0.06215,0.03917,1.98414,9.44764,13.2254,2.21628,0.00041675,0.00041675,0.00041675
2,29.6273,1.34032,2.02914,3.12547,1.40445,8e-05,0.04167,0.00012,4e-05,0,0,0,0,nan,nan,nan,nan,0.000848066,0.000848066,0.000848066
3,35.8332,1.63456,2.52691,2.98677,1.6463,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00127724,0.00127724,0.00127724
4,41.8969,1.87371,2.42444,3.30805,1.84835,0.0002,0.0625,0.00012,3e-05,0.00027,0.08333,0.00017,4e-05,nan,nan,nan,nan,0.00165462,0.00165462,0.00165462
5,47.8795,1.77332,1.99543,3.18799,1.77928,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016505,0.0016505,0.0016505
6,54.0036,1.80285,2.091,2.93664,1.75052,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00164637,0.00164637,0.00164637
7,60.065,1.61935,1.92052,2.82144,1.62935,0.00089,0.09583,0.00066,0.00031,0.00089,0.09583,0.00066,0.00026,nan,nan,nan,nan,0.00164225,0.00164225,0.00164225
8,66.3439,1.63253,2.09356,2.585,1.67178,0.00127,0.1625,0.00058,0.0003,0.00092,0.11667,0.0004,0.0002,nan,nan,nan,nan,0.00163812,0.00163812,0.00163812
9,72.4396,1.76155,1.9453,2.78554,1.75465,0.00364,0.36667,0.00271,0.00115,0.0031,0.19167,0.00234,0.001,nan,nan,nan,nan,0.00163399,0.00163399,0.00163399
10,78.6757,1.56029,1.86031,2.39825,1.61649,0.03498,0.27899,0.01216,0.00657,0.0354,0.29982,0.01299,0.00772,nan,nan,nan,nan,0.00162987,0.00162987,0.00162987
11,86.0612,1.54604,1.65727,2.32648,1.58004,0.02229,0.64583,0.01841,0.01117,0.02426,0.6875,0.02258,0.01185,1.5249,1.83446,45.6,2.16436,0.00162574,0.00162574,0.00162574
12,92.3744,1.46638,1.83273,2.26395,1.56466,0.04719,0.475,0.06606,0.03693,0.05325,0.56667,0.08959,0.05132,1.50425,1.65642,18.6449,1.7652,0.00162162,0.00162162,0.00162162
13,99.7518,1.37073,1.58996,2.07462,1.50498,0.12991,0.50833,0.09046,0.04987,0.12991,0.50833,0.09238,0.04861,1.49164,1.62099,8.03536,1.73886,0.00161749,0.00161749,0.00161749
14,107.165,1.36393,1.68177,2.089,1.52278,0.62974,0.14583,0.1137,0.08425,0.62974,0.14583,0.11605,0.09149,1.34473,2.42822,10.3269,1.57979,0.00161336,0.00161336,0.00161336
15,114.788,1.29807,1.55632,1.93223,1.42227,0.09903,0.65,0.19854,0.12254,0.60156,0.29167,0.21217,0.12595,1.19441,1.54136,5.64856,1.43432,0.00160924,0.00160924,0.00160924
16,122.152,1.33451,1.56445,2.08302,1.4508,0.41667,0.30246,0.30327,0.2196,0.41667,0.30246,0.29151,0.22403,1.47031,2.74952,3.74932,1.72454,0.00160511,0.00160511,0.00160511
17,130.087,1.32785,1.61974,1.96379,1.44389,0.17967,0.53533,0.20994,0.11627,0.17967,0.53533,0.21116,0.12843,1.37262,1.60568,2.99632,1.57406,0.00160099,0.00160099,0.00160099
18,136.237,1.36066,1.53551,1.92264,1.46013,0.62791,0.37917,0.4247,0.29554,0.62791,0.37917,0.42453,0.31484,1.35981,1.33165,2.2358,1.59065,0.00159686,0.00159686,0.00159686
19,143.611,1.25856,1.48007,1.87181,1.41197,0.40833,0.37917,0.40183,0.2798,0.52761,0.425,0.432,0.2974,1.23814,1.41622,2.4909,1.535,0.00159274,0.00159274,0.00159274
20,149.714,1.27125,1.91438,1.85402,1.36237,0.35484,0.45197,0.40813,0.30234,0.35484,0.45197,0.40866,0.31235,1.15913,1.32671,1.9474,1.43621,0.00158861,0.00158861,0.00158861
21,157.172,1.27133,1.40747,1.81824,1.41386,0.54338,0.45833,0.45166,0.32454,0.54338,0.45833,0.45475,0.33301,1.16969,1.32961,1.91818,1.42104,0.00158448,0.00158448,0.00158448
22,165.428,1.25899,1.50027,1.89001,1.4051,0.33899,0.29167,0.2755,0.18319,0.33899,0.29167,0.2755,0.19024,1.13355,1.60421,2.00184,1.34374,0.00158036,0.00158036,0.00158036
23,171.819,1.11147,1.38292,1.72165,1.28744,0.54473,0.575,0.49697,0.34498,0.54473,0.575,0.4967,0.36099,1.12027,1.35405,1.81019,1.30577,0.00157623,0.00157623,0.00157623
24,179.358,1.20927,1.51461,1.79008,1.32683,0.31984,0.35417,0.41783,0.29904,0.31984,0.35417,0.41935,0.31,1.18639,1.41541,2.71394,1.43566,0.00157211,0.00157211,0.00157211
25,185.482,1.07366,1.30181,1.56703,1.25618,0.47125,0.5125,0.49228,0.31483,0.47125,0.5125,0.48511,0.34209,1.26975,1.43954,1.94169,1.53342,0.00156798,0.00156798,0.00156798
26,191.785,1.12315,1.22909,1.64548,1.30049,0.48509,0.62239,0.5703,0.40116,0.48509,0.62239,0.5703,0.41823,1.19201,1.25783,1.71996,1.4276,0.00156385,0.00156385,0.00156385
27,199.322,1.06767,1.31707,1.59616,1.2549,0.43605,0.6125,0.55117,0.40413,0.43605,0.6125,0.55039,0.39658,1.16644,1.50695,1.71647,1.45726,0.00155973,0.00155973,0.00155973
28,205.604,1.04292,1.2828,1.53874,1.23099,0.57707,0.47917,0.51875,0.36155,0.57707,0.47917,0.51902,0.36724,1.14956,1.17138,1.87227,1.40482,0.0015556,0.0015556,0.0015556
29,211.78,1.06258,1.20197,1.50121,1.25175,0.8645,0.46597,0.54498,0.4144,0.8645,0.46597,0.54498,0.43755,1.13237,1.20631,2.04915,1.42388,0.00155148,0.00155148,0.00155148
30,220.136,1.10131,1.33299,1.54638,1.31254,0.80657,0.31667,0.48152,0.32968,0.80657,0.31667,0.48152,0.33908,1.09466,1.37799,1.98292,1.42728,0.00154735,0.00154735,0.00154735
31,226.23,1.03453,1.23795,1.49557,1.23665,0.28503,0.6125,0.45106,0.32797,0.28503,0.6125,0.45106,0.32906,1.04353,1.25971,2.04979,1.29634,0.00154323,0.00154323,0.00154323
32,232.462,1.06508,1.24687,1.50455,1.2894,0.70668,0.55054,0.65156,0.47404,0.70668,0.55054,0.65156,0.48415,1.07868,1.17811,1.59237,1.32409,0.0015391,0.0015391,0.0015391
33,240.023,1.04235,1.23506,1.4249,1.24621,0.7472,0.47917,0.56143,0.41431,0.67928,0.45417,0.5202,0.38797,1.13352,1.25765,1.6197,1.36533,0.00153497,0.00153497,0.00153497
