epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3623,0.68395,1.37069,1.89136,1.11892,0.09117,0.07333,0.01892,0.01194,0.09224,0.09333,0.01692,0.01216,2.11893,30.3426,22.2719,3.30636,0.000542744,0.000542744,0.000542744
2,50.8405,0.8131,0.68389,1.11411,1.11529,0,0,0,0,0,0,0,0,4.3069,3990.85,inf,56.8131,0.00108754,0.00108754,0.00108754
3,65.224,0.86828,0.67185,1.01508,1.13708,0.59931,0.02,0.00882,0.00267,0.59931,0.02,0.00882,0.00177,4.29716,31.8721,26.3431,7.77803,0.00162133,0.00162133,0.00162133
4,79.2898,0.79388,0.56442,0.88932,1.09726,0.17542,0.22259,0.07875,0.03838,0.17084,0.25656,0.08134,0.04909,2.19823,3.6502,10.0086,3.4072,0.00161749,0.00161749,0.00161749
5,94.6449,0.75124,0.60519,0.86655,1.08297,0.53122,0.23333,0.22927,0.1485,0.54021,0.25333,0.22809,0.15903,1.56161,5.71918,5.57854,1.7287,0.00160099,0.00160099,0.00160099
6,110.211,0.66838,0.55504,0.77297,1.04325,0.2908,0.30214,0.1571,0.09775,0.2951,0.32198,0.15859,0.11611,1.38444,2.90364,3.97865,1.78895,0.00158448,0.00158448,0.00158448
7,124.234,0.60512,0.49045,0.69411,1.00869,0.76243,0.33156,0.28785,0.19089,0.76243,0.33156,0.28785,0.21,1.23759,2.17373,3.02363,1.5907,0.00156798,0.00156798,0.00156798
8,139.518,0.59058,0.47468,0.65676,1.00595,0.62487,0.37333,0.32223,0.23797,0.62487,0.37333,0.32223,0.25016,1.0814,1.95649,1.96294,1.38056,0.00155148,0.00155148,0.00155148
9,154.81,0.58113,0.43942,0.65322,1.00564,0.51498,0.43333,0.40743,0.29624,0.51498,0.43333,0.40738,0.30743,1.09563,1.60919,1.89031,1.46097,0.00153497,0.00153497,0.00153497
10,170.199,0.54072,0.46818,0.62483,0.98027,0.56226,0.55333,0.51364,0.37868,0.56226,0.55333,0.51279,0.39677,1.00167,1.76238,1.69646,1.29105,0.00151847,0.00151847,0.00151847
11,185.489,0.51462,0.44066,0.60609,0.95613,0.39375,0.43333,0.32598,0.25424,0.39375,0.43333,0.32557,0.25038,0.94381,1.57008,1.74425,1.30322,0.00150197,0.00150197,0.00150197
12,199.553,0.52766,0.45327,0.60533,0.97153,0.46124,0.38667,0.43024,0.3317,0.46124,0.38667,0.43043,0.34246,1.19533,1.64007,1.74969,1.56784,0.00148546,0.00148546,0.00148546
13,213.618,0.49334,0.3997,0.5563,0.96242,0.51651,0.47333,0.40754,0.31389,0.50672,0.45333,0.40384,0.34021,0.94984,1.97732,1.85425,1.28607,0.00146896,0.00146896,0.00146896
14,227.719,0.47307,0.40191,0.5764,0.94974,0.53148,0.52402,0.49558,0.38907,0.53148,0.52402,0.49558,0.41413,1.04973,1.50366,1.46511,1.41935,0.00145246,0.00145246,0.00145246
15,242.983,0.46138,0.38204,0.53126,0.93927,0.71007,0.66,0.75639,0.59978,0.71007,0.66,0.75639,0.62109,0.87025,1.42327,1.10828,1.30483,0.00143595,0.00143595,0.00143595
16,258.495,0.45147,0.34429,0.50733,0.9445,0.48129,0.73333,0.66068,0.5289,0.48129,0.73333,0.66068,0.52858,0.84018,1.45396,1.22159,1.2054,0.00141945,0.00141945,0.00141945
17,272.546,0.45476,0.37055,0.49727,0.94127,0.56472,0.57333,0.59758,0.48088,0.56472,0.57333,0.59758,0.48537,0.80047,1.73834,1.38754,1.15418,0.00140295,0.00140295,0.00140295
18,286.584,0.43617,0.35942,0.52857,0.9324,0.71531,0.62117,0.62095,0.49599,0.71531,0.62117,0.62095,0.48895,0.88096,1.55046,1.3166,1.23026,0.00138644,0.00138644,0.00138644
19,300.654,0.40814,0.33693,0.46492,0.92446,0.47677,0.54891,0.4931,0.38802,0.47677,0.54891,0.4931,0.41263,0.9432,1.35816,1.76531,1.30671,0.00136994,0.00136994,0.00136994
20,314.663,0.43362,0.37336,0.48186,0.92873,0.69976,0.55333,0.66175,0.52582,0.69976,0.55333,0.66175,0.55964,0.90205,1.34559,1.07665,1.34142,0.00135344,0.00135344,0.00135344
21,328.888,0.41244,0.32833,0.47086,0.91777,0.64113,0.71083,0.74391,0.62046,0.64113,0.71083,0.74391,0.61656,0.75815,1.42799,1.11224,1.23315,0.00133693,0.00133693,0.00133693
22,344.227,0.40921,0.33262,0.46748,0.91999,0.55733,0.6395,0.65129,0.53718,0.55733,0.6395,0.65129,0.50638,0.86954,1.71507,1.1412,1.30121,0.00132043,0.00132043,0.00132043
23,358.186,0.39124,0.34357,0.47261,0.91907,0.63141,0.61017,0.64019,0.51216,0.6311,0.62667,0.64781,0.54995,0.98735,1.60632,1.36217,1.28941,0.00130393,0.00130393,0.00130393
24,372.211,0.38505,0.34141,0.42524,0.91352,0.80134,0.55333,0.69221,0.55045,0.80134,0.55333,0.69028,0.55418,0.99779,1.49063,1.23357,1.58342,0.00128742,0.00128742,0.00128742
25,386.227,0.365,0.32999,0.41026,0.89891,0.90042,0.73178,0.83665,0.69707,0.90042,0.73178,0.83665,0.71524,0.76902,1.26346,1.06459,1.25464,0.00127092,0.00127092,0.00127092
26,401.707,0.37714,0.29059,0.41061,0.91347,0.70973,0.68667,0.74076,0.61482,0.70973,0.68667,0.74076,0.6162,0.81731,1.4483,1.03967,1.15526,0.00125442,0.00125442,0.00125442
27,415.737,0.3773,0.30783,0.40698,0.90442,0.42552,0.42579,0.42161,0.32315,0.42552,0.42579,0.4147,0.32829,1.15902,1.96714,2.15724,1.34179,0.00123791,0.00123791,0.00123791
28,429.756,0.37641,0.29117,0.41913,0.90487,0.68677,0.78109,0.79717,0.63426,0.68677,0.78109,0.79717,0.64367,0.84513,1.30001,0.88639,1.24461,0.00122141,0.00122141,0.00122141
29,443.821,0.37696,0.29762,0.39805,0.90419,0.86895,0.78667,0.88534,0.75699,0.86895,0.78667,0.88641,0.74198,0.71523,1.2734,0.73069,1.10051,0.00120491,0.00120491,0.00120491
30,459.116,0.36586,0.2967,0.40417,0.89989,0.86302,0.85216,0.91945,0.78097,0.86302,0.85216,0.91945,0.77647,0.73666,1.15765,0.72212,1.17238,0.0011884,0.0011884,0.0011884
31,474.352,0.34544,0.30733,0.37536,0.90284,0.65011,0.84386,0.80173,0.67936,0.65011,0.84386,0.80173,0.68879,0.78128,1.65064,0.86265,1.25007,0.0011719,0.0011719,0.0011719
32,488.414,0.35757,0.29067,0.37727,0.90303,0.88574,0.86155,0.93367,0.77292,0.88574,0.86155,0.93367,0.78108,0.80948,1.13902,0.70397,1.18256,0.0011554,0.0011554,0.0011554
33,502.429,0.34003,0.26972,0.3671,0.89789,0.78476,0.82,0.85377,0.68941,0.78476,0.82,0.85377,0.70477,0.77025,1.18518,0.80186,1.19503,0.00113889,0.00113889,0.00113889
34,516.475,0.32957,0.29032,0.35015,0.89296,0.85636,0.8,0.88448,0.72173,0.85636,0.8,0.88448,0.73706,0.7568,1.45579,0.72784,1.16629,0.00112239,0.00112239,0.00112239
35,530.535,0.32389,0.26011,0.32973,0.8891,0.91982,0.77427,0.87896,0.72236,0.91982,0.77427,0.87896,0.73425,0.75546,1.21106,0.67649,1.16028,0.00110589,0.00110589,0.00110589
