epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2847,0.58199,1.00601,1.20512,1.05005,0.06057,0.41811,0.05694,0.02246,0.0603,0.40199,0.05664,0.02153,2.30819,7.4344,13.348,3.01532,0.000548355,0.000548355,0.000548355
2,73.7691,0.65308,0.51774,0.74569,1.04209,0.20167,0.30893,0.18281,0.10994,0.20167,0.30893,0.18121,0.11105,1.54205,11.5247,13.2482,1.80614,0.00109309,0.00109309,0.00109309
3,98.4103,0.72682,0.60252,0.75098,1.08205,0.51027,0.22581,0.00779,0.0033,0.51113,0.09677,0.00792,0.00415,2.19203,9.52207,21.7853,2.4641,0.00162683,0.00162683,0.00162683
4,121.664,0.66174,0.5181,0.66122,1.04867,0.62127,0.22581,0.16303,0.11652,0.62127,0.22581,0.16267,0.11027,1.32819,1.72614,3.67889,1.51502,0.00161749,0.00161749,0.00161749
5,146.348,0.56921,0.45565,0.58462,1.00254,0.26898,0.42184,0.2759,0.19712,0.27741,0.43797,0.28615,0.21763,1.1954,1.49179,2.36723,1.32343,0.00160099,0.00160099,0.00160099
6,170.927,0.52469,0.40845,0.55665,0.97756,0.20323,0.38337,0.17253,0.12631,0.20323,0.38337,0.17086,0.13109,1.2647,2.2463,2.64291,1.45274,0.00158448,0.00158448,0.00158448
7,194.232,0.48633,0.37939,0.49773,0.95657,0.28774,0.30724,0.19551,0.14217,0.28183,0.31908,0.18975,0.15341,1.34109,1.76718,3.08679,1.40891,0.00156798,0.00156798,0.00156798
8,217.552,0.47831,0.42684,0.50085,0.96647,0.23951,0.43176,0.32406,0.24602,0.23951,0.43176,0.32534,0.23919,1.00177,2.12461,1.77916,1.17793,0.00155148,0.00155148,0.00155148
9,242.083,0.45364,0.38438,0.4667,0.95511,0.49041,0.44363,0.42917,0.31736,0.49041,0.44363,0.43786,0.32963,0.9725,1.41985,1.54555,1.18918,0.00153497,0.00153497,0.00153497
10,266.641,0.42753,0.38463,0.45564,0.94472,0.82816,0.37097,0.38649,0.31603,0.82816,0.37097,0.38649,0.29697,0.85208,1.28445,1.33177,1.08954,0.00151847,0.00151847,0.00151847
11,289.907,0.42254,0.39629,0.43801,0.9343,0.33102,0.41563,0.36159,0.28782,0.33102,0.41563,0.36291,0.26607,0.91319,1.44682,1.71451,1.16689,0.00150197,0.00150197,0.00150197
12,313.179,0.42961,0.38496,0.45854,0.93911,0.34276,0.5794,0.36104,0.25796,0.34276,0.5794,0.36094,0.24654,0.93597,1.6314,1.4711,1.19713,0.00148546,0.00148546,0.00148546
13,336.478,0.39325,0.38439,0.41434,0.93495,0.31834,0.50248,0.36964,0.29537,0.30318,0.46402,0.36316,0.28974,0.98909,1.33847,1.55134,1.21674,0.00146896,0.00146896,0.00146896
14,359.758,0.37605,0.33268,0.40208,0.9147,0.79756,0.37345,0.51768,0.42124,0.79756,0.37345,0.51768,0.40661,0.91411,1.29862,1.35335,1.0892,0.00145246,0.00145246,0.00145246
15,384.326,0.38321,0.36115,0.38211,0.92162,0.47147,0.5794,0.49209,0.40407,0.47147,0.5794,0.49209,0.39902,0.86671,1.11866,1.28913,1.14904,0.00143595,0.00143595,0.00143595
16,407.621,0.36698,0.31517,0.38674,0.91443,0.56934,0.57098,0.59641,0.4594,0.56934,0.57098,0.59726,0.45176,0.83614,1.21384,1.10724,1.1468,0.00141945,0.00141945,0.00141945
17,432.211,0.34888,0.30674,0.36574,0.91253,0.58564,0.48939,0.54007,0.41581,0.58564,0.48939,0.54007,0.40354,0.81115,1.35665,1.2468,1.1004,0.00140295,0.00140295,0.00140295
