epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9289,0.97264,1.66302,3.80073,1.54747,0.00192,0.41895,0.00229,0.00093,0.50299,0.04,0.00279,0.00082,2.00762,10.7817,89.6569,3.09065,0.000546086,0.000546086,0.000546086
2,55.7742,1.13393,1.28291,1.89593,1.73776,0,0,0,0,0,0,0,0,4.28495,nan,inf,124.207,0.00109903,0.00109903,0.00109903
3,74.4618,1.29405,1.40205,1.65532,1.90253,0.51107,0.02,0.00174,0.00031,0.51107,0.02,0.00164,0.00027,3.59069,151.488,5.68909,7.60937,0.00164922,0.00164922,0.00164922
4,93.1105,1.27046,1.34219,1.60936,1.84661,0.00209,0.16632,0.00136,0.00044,0.00209,0.16632,0.00136,0.00039,4.00627,22.1129,274.774,10.2715,0.00165462,0.00165462,0.00165462
5,111.813,1.21291,1.28691,1.56668,1.77462,0.10961,0.13263,0.02666,0.01123,0.11982,0.19263,0.03121,0.01567,3.03372,5.18689,5.43508,3.5146,0.0016505,0.0016505,0.0016505
6,130.875,1.10548,1.18091,1.30776,1.73183,0.13442,0.11263,0.08234,0.04376,0.13442,0.11263,0.08222,0.04129,2.46566,4.18293,4.72203,3.132,0.00164637,0.00164637,0.00164637
7,149.84,1.02922,1.01325,1.20038,1.6244,0.38599,0.24526,0.19928,0.10796,0.38599,0.24526,0.19519,0.123,1.78303,2.5851,6.16463,1.93404,0.00164225,0.00164225,0.00164225
8,168.773,0.95656,0.9151,1.13492,1.55272,0.20732,0.21844,0.11283,0.062,0.1637,0.18632,0.10419,0.06723,1.90373,2.12718,3.4993,2.19944,0.00163812,0.00163812,0.00163812
9,187.457,0.909,0.85896,1.11742,1.51939,0.37792,0.31253,0.31055,0.18213,0.37792,0.31253,0.3076,0.20836,1.55384,1.77482,2.20168,1.82383,0.00163399,0.00163399,0.00163399
10,206.425,0.90867,0.87255,1.00895,1.50115,0.49509,0.20632,0.25687,0.15781,0.49509,0.20632,0.25962,0.18267,1.63079,1.86908,3.37557,1.94699,0.00162987,0.00162987,0.00162987
11,225.071,0.78566,0.79033,0.97331,1.36881,0.5444,0.21263,0.26545,0.18519,0.5444,0.21263,0.26555,0.18468,1.47068,1.68524,4.30866,1.78272,0.00162574,0.00162574,0.00162574
12,243.874,0.78462,0.82667,0.95316,1.3748,0.32781,0.49158,0.35192,0.22766,0.32781,0.49158,0.35526,0.27437,1.32977,1.6671,2.07544,1.55454,0.00162162,0.00162162,0.00162162
13,262.859,0.78593,0.81081,0.92569,1.37817,0.3441,0.56421,0.35009,0.23234,0.35423,0.58421,0.35747,0.261,1.20661,1.35108,1.88103,1.46593,0.00161749,0.00161749,0.00161749
14,281.491,0.76664,0.74879,0.86383,1.35918,0.42466,0.35263,0.42558,0.31084,0.42466,0.35263,0.42523,0.3252,1.25472,1.53607,1.91233,1.54134,0.00161336,0.00161336,0.00161336
15,300.44,0.70575,0.76668,0.87656,1.28941,0.60046,0.43895,0.38099,0.28104,0.60046,0.43895,0.3806,0.28034,1.11853,1.45279,2.19517,1.4745,0.00160924,0.00160924,0.00160924
16,319.118,0.69766,0.7297,0.81614,1.26039,0.78065,0.41263,0.45994,0.35107,0.83514,0.43165,0.48065,0.35464,1.11441,1.51009,1.92533,1.42075,0.00160511,0.00160511,0.00160511
17,338.273,0.67607,0.69479,0.7862,1.2638,0.30892,0.56929,0.43466,0.32403,0.30892,0.56929,0.43199,0.34853,1.15615,1.35856,1.68449,1.46728,0.00160099,0.00160099,0.00160099
18,356.923,0.63075,0.69542,0.73557,1.21214,0.49517,0.41492,0.47795,0.34159,0.49517,0.41492,0.47455,0.36107,1.21251,1.3713,1.83318,1.56129,0.00159686,0.00159686,0.00159686
19,375.552,0.67063,0.68418,0.77809,1.24069,0.31746,0.42526,0.39666,0.29188,0.31746,0.42526,0.40498,0.31385,1.18242,1.25016,2.14861,1.47166,0.00159274,0.00159274,0.00159274
20,394.174,0.60233,0.64193,0.72374,1.17132,0.88646,0.44649,0.56009,0.39999,0.88646,0.44649,0.55652,0.42101,1.13284,1.33026,1.43542,1.60135,0.00158861,0.00158861,0.00158861
21,413.116,0.621,0.63239,0.81686,1.19422,0.72915,0.48526,0.52842,0.3952,0.72915,0.48526,0.52903,0.40637,1.07341,1.39244,1.6444,1.39186,0.00158448,0.00158448,0.00158448
22,431.934,0.60316,0.6554,0.7239,1.16671,0.39016,0.60337,0.52446,0.39229,0.40213,0.61053,0.53154,0.40778,1.11623,1.34416,1.82443,1.4954,0.00158036,0.00158036,0.00158036
23,450.568,0.60415,0.70848,0.68142,1.21885,0.50698,0.55158,0.56714,0.4258,0.50698,0.55158,0.56609,0.43571,1.00456,1.19407,1.45897,1.44096,0.00157623,0.00157623,0.00157623
24,469.52,0.53748,0.60485,0.61624,1.12032,0.44347,0.55053,0.48989,0.3587,0.44347,0.55053,0.48953,0.35804,1.12157,1.33478,1.59936,1.47973,0.00157211,0.00157211,0.00157211
25,488.22,0.55223,0.60766,0.64787,1.13269,0.46539,0.50856,0.51927,0.41786,0.46539,0.50856,0.51927,0.44545,0.97847,1.16741,1.58937,1.37383,0.00156798,0.00156798,0.00156798
