epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6446,1.23285,2.4165,3.65004,1.39391,0.36103,0.175,0.14791,0.11532,0.4312,0.2,0.17514,0.10611,1.97036,50.1063,3.83236,2.54845,0.00041675,0.00041675,0.00041675
2,44.5684,1.31888,1.68522,2.51912,1.42237,0.00098,0.25833,0.00071,0.00025,0.00028,0.08333,0.00027,6e-05,3.86062,nan,inf,66.5239,0.000845962,0.000845962,0.000845962
3,55.073,1.33994,1.6507,2.17793,1.42998,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00127088,0.00127088,0.00127088
4,64.9568,1.37277,1.55067,2.00532,1.4992,0.00028,0.10417,0.0002,5e-05,0.00022,0.08333,0.00016,4e-05,nan,nan,nan,nan,0.00164225,0.00164225,0.00164225
5,74.869,1.37082,1.55063,1.88039,1.51618,0.0013,0.27083,0.00089,0.00045,0.00112,0.20417,0.00072,0.00032,nan,nan,nan,nan,0.00163399,0.00163399,0.00163399
6,84.477,1.35856,1.61955,1.99378,1.5073,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00162574,0.00162574,0.00162574
7,94.2652,1.37113,1.60333,2.01249,1.51913,0.52427,0.04167,0.00887,0.00394,0.52427,0.04167,0.00744,0.00261,2.64815,4.17747,8.12063,2.85868,0.00161749,0.00161749,0.00161749
8,104.157,1.29868,1.52995,1.7194,1.44612,0.1897,0.44583,0.315,0.21061,0.1897,0.44583,0.31449,0.22046,1.44718,2.28925,33.5996,1.91647,0.00160924,0.00160924,0.00160924
9,115.196,1.24129,1.42526,1.58486,1.43549,0.62119,0.36667,0.45722,0.32278,0.45576,0.53333,0.49621,0.32595,1.51551,1.83633,5.23832,1.87969,0.00160099,0.00160099,0.00160099
10,126.283,1.20156,1.36372,1.44427,1.38567,0.38139,0.28333,0.24758,0.15501,0.38139,0.28333,0.24775,0.16243,1.62858,2.42052,4.60684,1.97573,0.00159274,0.00159274,0.00159274
11,136.074,1.13916,1.37931,1.35297,1.34162,0.6188,0.42243,0.44295,0.30526,0.6188,0.42243,0.45613,0.29899,1.58366,1.68401,2.22448,1.92109,0.00158448,0.00158448,0.00158448
