epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5614,1.16318,2.17488,3.5293,1.265,0.00314,0.875,0.38357,0.29501,0.00314,0.875,0.3724,0.26708,0.83157,1.71267,3.14272,1.01839,0.00041675,0.00041675,0.00041675
2,30.1798,1.09536,1.38746,2.66858,1.1681,0.00257,0.75833,0.21388,0.10753,0.00166,0.49583,0.14227,0.0846,1.51938,20.6423,3.49088,1.53097,0.000845962,0.000845962,0.000845962
3,34.6685,1.06581,1.27759,2.25796,1.14888,0.41863,0.325,0.38346,0.22413,0.44953,0.35,0.39765,0.25287,1.23373,4.79952,2.82861,1.3199,0.00127088,0.00127088,0.00127088
4,39.2086,1.07786,1.238,2.08086,1.14239,0.42247,0.31667,0.35538,0.22498,0.42247,0.31667,0.35614,0.23769,1.12472,2.31727,2.47822,1.36143,0.00164225,0.00164225,0.00164225
5,43.3596,1.08009,1.3003,1.90084,1.1601,0.29925,0.34741,0.29924,0.19574,0.29925,0.34741,0.29971,0.20827,1.28024,3.26547,3.38484,1.4159,0.00163399,0.00163399,0.00163399
6,47.5488,1.05204,1.25838,1.7637,1.13997,0.43238,0.37917,0.34116,0.23603,0.43238,0.37917,0.33268,0.23617,1.09334,2.1777,3.02881,1.25162,0.00162574,0.00162574,0.00162574
7,51.722,1.10951,1.523,1.80318,1.1714,0.65164,0.39574,0.54733,0.39448,0.65164,0.39574,0.52909,0.35702,1.11411,1.87989,3.08668,1.30672,0.00161749,0.00161749,0.00161749
8,56.0837,1.02677,1.25041,1.63725,1.11562,0.49218,0.45285,0.44853,0.29179,0.47071,0.42977,0.42866,0.30384,1.0605,2.22828,2.99982,1.3317,0.00160924,0.00160924,0.00160924
9,60.2597,1.00869,1.19895,1.48411,1.11748,0.704,0.375,0.43475,0.26865,0.6807,0.35417,0.41705,0.28835,1.20515,3.75363,2.23174,1.41095,0.00160099,0.00160099,0.00160099
10,64.6517,0.98586,1.1653,1.39114,1.09926,0.37747,0.43365,0.34674,0.25136,0.37747,0.43365,0.34653,0.2479,1.13405,1.90359,2.12947,1.28317,0.00159274,0.00159274,0.00159274
11,68.8748,0.93753,1.13989,1.2901,1.06383,0.72058,0.5168,0.58434,0.42413,0.72058,0.5168,0.60474,0.42709,1.22933,3.39749,1.68363,1.44629,0.00158448,0.00158448,0.00158448
12,73.2351,0.91044,1.0134,1.28917,1.05509,0.67385,0.60548,0.7251,0.56712,0.67385,0.60548,0.71866,0.55009,0.89849,1.12137,1.59912,1.16691,0.00157623,0.00157623,0.00157623
13,77.5847,0.90715,1.03393,1.19567,1.05635,0.6464,0.74167,0.74104,0.54114,0.6464,0.74167,0.74104,0.56965,0.89246,1.10231,1.40601,1.12148,0.00156798,0.00156798,0.00156798
14,81.7558,0.88042,0.94146,1.1015,1.04274,0.79119,0.51667,0.65504,0.50721,0.79119,0.51667,0.65504,0.49459,0.88747,1.13982,1.71356,1.10111,0.00155973,0.00155973,0.00155973
15,85.854,0.86573,0.94315,1.05244,1.03349,0.84596,0.85417,0.89268,0.66923,0.84596,0.85417,0.90156,0.69516,0.88177,1.04159,0.95983,1.10686,0.00155148,0.00155148,0.00155148
16,90.1906,0.9256,1.04014,1.08298,1.07974,0.85971,0.53604,0.66472,0.52678,0.85971,0.53604,0.6598,0.4945,0.88972,1.95643,1.59138,1.11255,0.00154323,0.00154323,0.00154323
17,94.5163,0.91632,0.95986,1.01765,1.07593,0.82318,0.72058,0.82562,0.61338,0.82318,0.72058,0.79995,0.58461,0.84672,1.17986,1.06552,1.04047,0.00153497,0.00153497,0.00153497
18,98.6914,0.83026,0.9783,0.9632,1.03491,0.81783,0.69315,0.77424,0.59797,0.82679,0.75127,0.78113,0.64026,0.84229,0.90425,1.11693,1.09157,0.00152672,0.00152672,0.00152672
19,102.825,0.85323,0.9725,0.94756,1.03989,0.80893,0.64167,0.75917,0.57728,0.80893,0.64167,0.75917,0.60355,0.8932,1.00045,1.13151,1.10229,0.00151847,0.00151847,0.00151847
20,106.946,0.8008,0.86859,0.90268,1.01137,0.80456,0.77797,0.81466,0.61728,0.80456,0.77797,0.81466,0.62192,0.85856,1.01671,0.97688,1.08771,0.00151022,0.00151022,0.00151022
21,111.071,0.79446,0.86889,0.85868,1.02519,0.64177,0.575,0.58357,0.46705,0.64177,0.575,0.57337,0.48206,0.97634,1.29498,1.53797,1.17506,0.00150197,0.00150197,0.00150197
22,115.191,0.80864,0.89657,0.89621,1.02656,0.86603,0.65417,0.78547,0.6263,0.86603,0.65417,0.78547,0.62734,0.83332,1.0542,1.19074,1.12605,0.00149372,0.00149372,0.00149372
23,119.469,0.73856,0.84322,0.80329,0.97199,0.73168,0.76289,0.75099,0.57701,0.73168,0.76289,0.75099,0.57641,0.84724,1.0753,1.1103,1.05757,0.00148546,0.00148546,0.00148546
24,123.653,0.79619,0.87595,0.82577,1.00385,0.65054,0.64167,0.74611,0.60523,0.65054,0.64167,0.74611,0.60421,0.8287,0.96488,1.10536,1.05154,0.00147721,0.00147721,0.00147721
25,127.709,0.77572,0.8583,0.79906,1.01139,0.68178,0.50295,0.60727,0.47373,0.68178,0.50295,0.5895,0.48095,0.88944,1.38469,1.52002,1.15111,0.00146896,0.00146896,0.00146896
26,131.822,0.79602,0.88071,0.83823,1.02103,0.86115,0.63333,0.7401,0.56656,0.86115,0.63333,0.7401,0.55156,0.83074,0.88199,1.26668,1.03093,0.00146071,0.00146071,0.00146071
27,135.947,0.78289,0.89402,0.83026,1.01209,0.84894,0.62917,0.75361,0.60005,0.84894,0.62917,0.75508,0.59162,0.82185,0.93084,1.09996,1.06855,0.00145246,0.00145246,0.00145246
28,140.053,0.7433,0.81283,0.75289,0.98227,0.74873,0.7,0.74232,0.57891,0.74873,0.7,0.74232,0.57131,0.82731,0.97312,1.11507,1.03679,0.00144421,0.00144421,0.00144421
29,144.325,0.7469,0.86778,0.74345,0.98588,0.67744,0.75414,0.72345,0.58301,0.67744,0.75414,0.72345,0.59571,0.82894,1.05267,1.19768,1.056,0.00143595,0.00143595,0.00143595
30,148.476,0.7372,0.84719,0.73823,0.98727,0.73302,0.65833,0.7064,0.58682,0.73302,0.65833,0.7064,0.57271,0.76548,1.16057,1.15298,1.06214,0.0014277,0.0014277,0.0014277
31,152.628,0.73944,0.83934,0.73856,0.9869,0.74985,0.75484,0.85244,0.67436,0.74985,0.75484,0.85244,0.67384,0.76287,0.88269,0.99766,1.02516,0.00141945,0.00141945,0.00141945
