epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.866,1.22398,2.44866,4.60469,1.38444,0.63534,0.41689,0.44063,0.2861,0.63269,0.41667,0.39501,0.24252,1.33832,8.2535,4.25567,1.61312,0.00041675,0.00041675,0.00041675
2,35.4198,1.09433,1.43483,2.35148,1.22641,0.60461,0.1,0.07663,0.05554,0.60461,0.1,0.07094,0.04459,2.31204,100.787,8.6594,3.70115,0.000845962,0.000845962,0.000845962
3,41.474,1.12884,1.35126,1.75821,1.25478,0.18047,0.0875,0.03385,0.00944,0.1622,0.025,0.00972,0.00419,2.63208,374.513,8.01606,3.4019,0.00127088,0.00127088,0.00127088
4,47.228,1.18084,1.35288,1.76316,1.23475,0.09446,0.04583,0.01637,0.01,0.09446,0.04583,0.01471,0.00937,3.09324,174.739,6.87321,4.2109,0.00164225,0.00164225,0.00164225
5,52.956,1.11098,1.28557,1.47404,1.19743,0.51554,0.0625,0.00512,0.00166,0.00276,0.02083,0.0008,0.00016,3.52219,183.026,17.4342,6.19692,0.00163399,0.00163399,0.00163399
6,58.6967,1.08527,1.1914,1.25057,1.1865,0.0788,0.15417,0.03451,0.01666,0.0788,0.15417,0.03381,0.01689,1.81939,14.0753,5.70729,2.00684,0.00162574,0.00162574,0.00162574
7,64.4244,1.14236,1.2766,1.35252,1.21447,0.57472,0.38333,0.3369,0.17982,0.54737,0.3625,0.31841,0.17758,1.71001,2.11526,2.84606,1.71391,0.00161749,0.00161749,0.00161749
8,70.1696,1.11544,1.25547,1.34862,1.20873,0.49059,0.27083,0.29415,0.18866,0.49059,0.27083,0.29406,0.20299,1.529,4.29037,3.2738,1.67161,0.00160924,0.00160924,0.00160924
9,75.8893,1.08002,1.12835,1.20899,1.19898,0.58214,0.71667,0.71644,0.49624,0.58214,0.71667,0.72548,0.52927,1.15231,1.23676,2.02947,1.41258,0.00160099,0.00160099,0.00160099
10,82.4337,1.01901,1.16469,1.15766,1.16237,0.58135,0.65833,0.65157,0.48771,0.58135,0.65833,0.65157,0.48149,1.00183,1.12386,2.04367,1.25297,0.00159274,0.00159274,0.00159274
11,88.3281,1.00787,1.14238,1.06215,1.12921,0.68026,0.63333,0.65993,0.46281,0.68026,0.63333,0.66778,0.43314,1.16272,1.11827,1.56707,1.35099,0.00158448,0.00158448,0.00158448
12,94.0791,0.96133,1.05017,1.02439,1.09419,0.39072,0.61667,0.41199,0.27782,0.39072,0.61667,0.41857,0.27527,1.21285,1.41235,4.87419,1.42523,0.00157623,0.00157623,0.00157623
13,99.7889,0.92872,1.07738,1.04637,1.10433,0.41382,0.60833,0.37277,0.24912,0.41382,0.60833,0.37049,0.26405,0.97249,1.13315,2.7134,1.21265,0.00156798,0.00156798,0.00156798
