epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8727,0.86288,1.4549,2.66024,1.19241,0.08481,0.38542,0.05586,0.03106,0.07936,0.38333,0.05201,0.02767,1.48542,2.08821,3.33739,1.50566,0.000552319,0.000552319,0.000552319
2,52.4359,1.00524,1.10381,1.5122,1.25553,0.38699,0.14995,0.13371,0.09137,0.38699,0.14995,0.13325,0.08924,1.73586,2.02751,4.03375,1.76377,0.00110524,0.00110524,0.00110524
3,65.9992,1.04021,1.02149,1.28843,1.30296,0.20776,0.38542,0.15754,0.09488,0.20776,0.38542,0.15313,0.10721,1.35625,1.58697,4.68862,1.48106,0.00165542,0.00165542,0.00165542
4,79.339,0.96688,0.95847,1.15172,1.2208,0.4179,0.37083,0.37798,0.22281,0.4179,0.37083,0.37968,0.22469,1.22229,1.45612,2.44452,1.25671,0.00165462,0.00165462,0.00165462
5,92.6799,0.90672,0.91982,0.98331,1.18285,0.69918,0.47073,0.48385,0.32586,0.69918,0.47073,0.48654,0.34165,1.27621,1.27748,2.23035,1.33334,0.0016505,0.0016505,0.0016505
6,105.958,0.88817,0.889,1.02378,1.1973,0.40922,0.59792,0.41615,0.27918,0.42618,0.61042,0.41837,0.30227,1.24885,1.3581,1.79315,1.31496,0.00164637,0.00164637,0.00164637
7,119.172,0.79674,0.85036,0.85832,1.11202,0.68373,0.56212,0.59383,0.38476,0.68373,0.56212,0.5897,0.41895,1.13044,1.00102,1.69697,1.22111,0.00164225,0.00164225,0.00164225
8,132.475,0.75896,0.81749,0.84605,1.09823,0.84202,0.62292,0.62396,0.4209,0.85175,0.63333,0.63531,0.44823,1.07662,1.29902,1.46449,1.23033,0.00163812,0.00163812,0.00163812
9,145.873,0.72196,0.78488,0.74387,1.0437,0.73181,0.55208,0.60022,0.45108,0.73181,0.55208,0.6007,0.47126,1.08379,1.10755,1.51975,1.23634,0.00163399,0.00163399,0.00163399
10,159.157,0.67044,0.75545,0.69131,1.02925,0.56809,0.68958,0.68746,0.49373,0.56809,0.68958,0.68746,0.51562,1.08215,1.10234,1.44677,1.20534,0.00162987,0.00162987,0.00162987
11,172.452,0.658,0.72566,0.70783,1.00921,0.68886,0.59798,0.61958,0.44513,0.68886,0.59798,0.61958,0.47049,1.05132,1.07627,1.33792,1.19442,0.00162574,0.00162574,0.00162574
12,185.67,0.64092,0.68047,0.61851,1.00133,0.81989,0.58611,0.70031,0.51793,0.81989,0.58611,0.70063,0.54207,0.95703,0.90414,1.41574,1.14596,0.00162162,0.00162162,0.00162162
13,198.969,0.62633,0.67975,0.62631,0.9868,0.79695,0.6625,0.79208,0.58241,0.79695,0.6625,0.79208,0.61944,0.94953,0.9045,1.08722,1.13511,0.00161749,0.00161749,0.00161749
14,212.239,0.59941,0.67245,0.60661,0.98207,0.66262,0.575,0.70113,0.50733,0.66262,0.575,0.69468,0.5268,0.97767,1.04448,1.31115,1.1295,0.00161336,0.00161336,0.00161336
15,225.588,0.6093,0.65181,0.58481,0.97659,0.81237,0.67198,0.76807,0.57289,0.79896,0.63542,0.74454,0.59509,0.92513,0.95051,1.16347,1.11168,0.00160924,0.00160924,0.00160924
16,238.715,0.57275,0.66837,0.55959,0.96275,0.57173,0.65208,0.65289,0.47677,0.62261,0.62494,0.66835,0.49933,0.9394,0.92696,1.40983,1.12597,0.00160511,0.00160511,0.00160511
17,251.888,0.54576,0.61921,0.52413,0.94667,0.92199,0.59847,0.7332,0.57632,0.92199,0.59847,0.7332,0.597,0.90623,0.97591,1.16261,1.11738,0.00160099,0.00160099,0.00160099
18,264.952,0.57144,0.61025,0.49019,0.95689,0.84391,0.71329,0.78663,0.61457,0.86298,0.72579,0.81352,0.64356,0.87704,0.91941,1.003,1.13947,0.00159686,0.00159686,0.00159686
