epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9494,0.9101,1.41598,2.13097,1.17198,0.43479,0.44375,0.41119,0.27643,0.43479,0.44375,0.41767,0.31025,1.1172,1.48794,2.17497,1.29006,0.000552319,0.000552319,0.000552319
2,55.775,1.07957,1.18709,1.59279,1.25773,0.00048,0.12708,0.00027,0.00014,0.00022,0.04792,0.00011,6e-05,3.0788,385.875,inf,3.65609,0.00110524,0.00110524,0.00110524
3,69.4389,1.10133,1.10178,1.50645,1.26404,0.58426,0.5,0.44411,0.2921,0.58426,0.5,0.44407,0.2973,1.17638,1.40347,2.85054,1.48587,0.00165542,0.00165542,0.00165542
4,83.6282,1.06787,1.08438,1.35162,1.2308,0.52005,0.40625,0.35557,0.23494,0.51334,0.39583,0.35148,0.2344,1.27846,1.23249,2.4543,1.36775,0.00165462,0.00165462,0.00165462
5,97.2465,1.05188,1.09324,1.24599,1.22168,0.589,0.4375,0.45976,0.30636,0.589,0.4375,0.45925,0.31259,1.17512,1.24416,2.22703,1.32698,0.0016505,0.0016505,0.0016505
6,111.788,0.99641,0.99836,1.23914,1.18046,0.57655,0.50833,0.46709,0.34747,0.57655,0.50833,0.4594,0.33814,1.06774,1.29608,2.07659,1.31478,0.00164637,0.00164637,0.00164637
7,126.285,0.94651,0.95335,1.18556,1.17337,0.69835,0.49221,0.51992,0.38151,0.69835,0.49221,0.5106,0.38114,1.06256,1.27589,1.73294,1.26906,0.00164225,0.00164225,0.00164225
8,140.968,0.93293,0.98974,1.1339,1.14608,0.48809,0.57541,0.56197,0.40647,0.49253,0.575,0.56409,0.42166,1.04937,0.96949,1.5012,1.20646,0.00163812,0.00163812,0.00163812
9,155.371,0.87026,1.00171,1.03465,1.11473,0.64127,0.51042,0.54916,0.40477,0.64127,0.51042,0.5493,0.42318,1.05222,1.16092,1.5776,1.3401,0.00163399,0.00163399,0.00163399
10,169.145,0.85541,0.95768,1.04046,1.1091,0.81304,0.65,0.756,0.58895,0.81304,0.65,0.75659,0.61751,0.91847,0.96937,1.42351,1.14356,0.00162987,0.00162987,0.00162987
11,183.324,0.83629,0.8832,0.96819,1.08953,0.85205,0.68542,0.78826,0.59836,0.85205,0.68542,0.78833,0.60981,0.91332,1.04115,1.16045,1.1674,0.00162574,0.00162574,0.00162574
12,197.473,0.83848,0.93027,1.00285,1.09195,0.5309,0.61843,0.61296,0.4771,0.5309,0.61843,0.6098,0.48821,0.93213,0.99944,1.53611,1.14028,0.00162162,0.00162162,0.00162162
13,211.156,0.78627,0.90044,0.96461,1.07146,0.67533,0.67292,0.68669,0.54367,0.67533,0.67292,0.68669,0.55936,0.98588,1.28705,1.36437,1.21774,0.00161749,0.00161749,0.00161749
14,224.897,0.76278,0.86699,0.9071,1.0625,0.83345,0.55625,0.742,0.57502,0.83345,0.55625,0.742,0.5886,0.90451,1.08529,1.26486,1.19796,0.00161336,0.00161336,0.00161336
15,238.97,0.77621,0.83802,0.88013,1.06756,0.70762,0.70509,0.7467,0.56941,0.70762,0.70509,0.7467,0.59033,0.89298,0.95107,1.26997,1.14898,0.00160924,0.00160924,0.00160924
16,252.832,0.75223,0.79717,0.85801,1.05474,0.78526,0.70724,0.75489,0.59637,0.78526,0.70724,0.75489,0.62479,0.86957,0.9342,1.11365,1.11852,0.00160511,0.00160511,0.00160511
17,267.089,0.76986,0.82293,0.8447,1.05682,0.74914,0.7622,0.77357,0.60961,0.74914,0.7622,0.77407,0.6195,0.86981,0.91626,1.26447,1.12246,0.00160099,0.00160099,0.00160099
18,281.273,0.73854,0.70713,0.79962,1.02739,0.73373,0.72499,0.74175,0.58795,0.73373,0.72499,0.74142,0.5997,0.87409,0.91447,1.21475,1.10887,0.00159686,0.00159686,0.00159686
19,294.851,0.72214,0.80372,0.7927,1.05463,0.79568,0.70484,0.79526,0.60553,0.81691,0.71676,0.81118,0.62562,0.81831,0.89454,1.0784,1.07067,0.00159274,0.00159274,0.00159274
20,308.91,0.66322,0.73431,0.75159,1.01198,0.78683,0.77803,0.86718,0.70665,0.78683,0.77803,0.86718,0.68393,0.75796,0.97225,0.88037,1.05901,0.00158861,0.00158861,0.00158861
21,323.189,0.66727,0.72284,0.73268,1.01669,0.73025,0.7375,0.78724,0.62498,0.73025,0.7375,0.78724,0.61986,0.80542,0.9306,1.14786,1.08825,0.00158448,0.00158448,0.00158448
22,336.791,0.64682,0.72601,0.6813,0.99455,0.78393,0.82066,0.86728,0.69706,0.78393,0.82066,0.86544,0.7002,0.77997,0.92804,0.91836,1.06461,0.00158036,0.00158036,0.00158036
23,351.238,0.66596,0.74569,0.68343,1.00536,0.83897,0.7851,0.86913,0.69824,0.83897,0.7851,0.8659,0.69358,0.75361,0.94588,0.9054,1.05407,0.00157623,0.00157623,0.00157623
24,365.072,0.65834,0.71227,0.66608,1.00668,0.83863,0.82569,0.88377,0.69586,0.83863,0.82569,0.88055,0.71955,0.74031,0.8002,0.78868,1.05983,0.00157211,0.00157211,0.00157211
25,379.209,0.64047,0.68692,0.65784,0.98805,0.7919,0.84081,0.85242,0.68453,0.7919,0.84081,0.85242,0.67514,0.73364,0.86345,0.87723,1.03313,0.00156798,0.00156798,0.00156798
26,393.039,0.65418,0.68979,0.69693,1.00108,0.84857,0.7875,0.87148,0.68288,0.84857,0.7875,0.87191,0.68855,0.87056,0.9226,0.89707,1.11939,0.00156385,0.00156385,0.00156385
27,406.541,0.64326,0.69694,0.66507,0.99813,0.78924,0.70849,0.80121,0.63438,0.78924,0.70849,0.80518,0.64679,0.80028,0.90844,0.9825,1.11354,0.00155973,0.00155973,0.00155973
28,420.19,0.61051,0.67908,0.63405,0.99005,0.79717,0.77718,0.84252,0.69056,0.79717,0.77718,0.836,0.67289,0.76265,0.8905,0.97872,1.04245,0.0015556,0.0015556,0.0015556
29,433.659,0.61167,0.69261,0.64666,0.98609,0.90203,0.825,0.88489,0.69966,0.90203,0.825,0.88349,0.70477,0.75768,0.79137,0.84817,1.05149,0.00155148,0.00155148,0.00155148
30,447.176,0.62774,0.71517,0.64016,1.00193,0.75686,0.72742,0.81342,0.63566,0.75686,0.72742,0.81381,0.62756,0.76088,0.91082,0.9082,1.08587,0.00154735,0.00154735,0.00154735
31,460.887,0.59681,0.64341,0.63117,0.98603,0.81808,0.83816,0.89674,0.69981,0.81808,0.83816,0.89674,0.71048,0.78547,0.95703,0.78609,1.08193,0.00154323,0.00154323,0.00154323
32,474.715,0.60262,0.66696,0.59371,0.97406,0.81374,0.79447,0.873,0.72619,0.81374,0.79447,0.87795,0.7332,0.74544,0.89305,0.79633,1.04041,0.0015391,0.0015391,0.0015391
33,489.047,0.59821,0.65327,0.62759,0.97799,0.8836,0.76042,0.88062,0.72155,0.8836,0.76042,0.88062,0.7241,0.67092,0.79042,0.80961,1.00135,0.00153497,0.00153497,0.00153497
34,503.018,0.60816,0.63736,0.60467,0.99319,0.77707,0.80254,0.87509,0.6843,0.77707,0.80254,0.8765,0.6806,0.79199,0.83502,0.86019,1.06519,0.00153085,0.00153085,0.00153085
35,516.71,0.60838,0.63097,0.62469,0.97978,0.86732,0.75,0.84854,0.66826,0.86732,0.75,0.84854,0.71275,0.77939,0.7796,0.8123,1.03481,0.00152672,0.00152672,0.00152672
36,530.534,0.5663,0.57958,0.56351,0.95867,0.80324,0.78482,0.80725,0.64152,0.80324,0.78482,0.80657,0.65761,0.76734,0.82753,1.02386,1.07165,0.0015226,0.0015226,0.0015226
37,544.314,0.58975,0.63813,0.60663,0.97493,0.86826,0.88708,0.92049,0.74466,0.86826,0.88708,0.92049,0.76293,0.68557,0.7623,0.77575,1.00214,0.00151847,0.00151847,0.00151847
38,558.414,0.56205,0.63338,0.58588,0.97701,0.89151,0.75208,0.84263,0.67903,0.89151,0.75208,0.84263,0.68565,0.75524,1.66205,0.85331,1.02102,0.00151434,0.00151434,0.00151434
39,571.966,0.57323,0.63722,0.57172,0.96491,0.92072,0.78542,0.88601,0.69676,0.92072,0.78542,0.88725,0.7204,0.70991,0.852,0.81245,1.01329,0.00151022,0.00151022,0.00151022
40,585.699,0.56846,0.65398,0.55359,0.95333,0.87427,0.74792,0.84546,0.65245,0.87427,0.74792,0.84762,0.66821,0.77066,0.83503,0.89215,1.08748,0.00150609,0.00150609,0.00150609
41,599.397,0.55373,0.60181,0.53142,0.947,0.72797,0.77584,0.80101,0.63795,0.72797,0.77584,0.80229,0.6375,0.79436,0.84348,0.92627,1.11302,0.00150197,0.00150197,0.00150197
42,613.248,0.55656,0.6165,0.52253,0.96876,0.84346,0.8327,0.89042,0.72359,0.84346,0.8327,0.89042,0.71469,0.81412,0.83962,0.67182,1.07306,0.00149784,0.00149784,0.00149784
43,627.063,0.54318,0.61729,0.54397,0.95424,0.86805,0.84205,0.89035,0.7177,0.86805,0.84205,0.89035,0.71393,0.74426,0.86803,0.75446,1.06188,0.00149372,0.00149372,0.00149372
44,640.839,0.54049,0.63452,0.54537,0.96128,0.86997,0.82115,0.88094,0.7569,0.86997,0.82115,0.88094,0.73956,0.67496,0.838,0.82501,0.97886,0.00148959,0.00148959,0.00148959
45,654.309,0.52209,0.57205,0.52736,0.94145,0.91701,0.78958,0.8568,0.71762,0.91701,0.78958,0.8568,0.7056,0.69014,0.87916,0.74794,1.03055,0.00148546,0.00148546,0.00148546
46,667.937,0.53556,0.60797,0.49973,0.94527,0.89904,0.82083,0.88563,0.75465,0.89904,0.82083,0.88519,0.74417,0.67794,0.80726,0.69379,1.02101,0.00148134,0.00148134,0.00148134
47,681.393,0.51452,0.56363,0.48142,0.94376,0.85798,0.87083,0.89166,0.74759,0.85798,0.87083,0.89177,0.74782,0.68418,0.88372,0.66559,1.01951,0.00147721,0.00147721,0.00147721
48,695.033,0.51959,0.57052,0.48429,0.93933,0.97767,0.83129,0.88963,0.7118,0.97767,0.83129,0.88963,0.70223,0.7434,0.82185,0.74839,1.03847,0.00147309,0.00147309,0.00147309
49,708.824,0.52718,0.59327,0.52328,0.94745,0.92075,0.80664,0.89807,0.7329,0.92075,0.80664,0.90322,0.73356,0.73162,0.86834,0.69059,1.04003,0.00146896,0.00146896,0.00146896
50,722.603,0.53256,0.58189,0.49722,0.93985,0.91186,0.81878,0.88803,0.71873,0.91186,0.81878,0.88788,0.71134,0.74004,0.84054,0.68145,1.07113,0.00146483,0.00146483,0.00146483
51,736.094,0.53306,0.61629,0.49068,0.94412,0.94549,0.90505,0.92665,0.75095,0.94549,0.90505,0.93105,0.75057,0.69739,0.84505,0.64318,0.99951,0.00146071,0.00146071,0.00146071
52,749.728,0.51351,0.52801,0.50834,0.93911,0.81837,0.84792,0.88351,0.72363,0.81837,0.84792,0.88351,0.71331,0.67933,0.8288,0.69808,1.00379,0.00145658,0.00145658,0.00145658
53,763.149,0.51063,0.56795,0.49918,0.93962,0.86293,0.88974,0.90218,0.77993,0.87626,0.90224,0.92441,0.78694,0.66453,0.75103,0.68229,0.9883,0.00145246,0.00145246,0.00145246
54,777.228,0.51822,0.54065,0.46344,0.936,0.88079,0.84772,0.91617,0.75684,0.88079,0.84772,0.91617,0.76013,0.71121,0.8137,0.63774,1.01151,0.00144833,0.00144833,0.00144833
55,790.9,0.49337,0.52677,0.46387,0.93276,0.82719,0.75514,0.82308,0.69592,0.82719,0.75514,0.82308,0.69822,0.62734,0.82495,0.87949,0.94812,0.00144421,0.00144421,0.00144421
56,804.702,0.49684,0.51123,0.4424,0.93374,0.83732,0.83229,0.89388,0.74428,0.83732,0.83229,0.89388,0.72359,0.63115,0.78035,0.78998,0.98773,0.00144008,0.00144008,0.00144008
57,818.548,0.48671,0.52257,0.45065,0.92792,0.82733,0.85259,0.91405,0.76593,0.82733,0.85259,0.91405,0.74696,0.68554,0.80129,0.75081,1.0274,0.00143595,0.00143595,0.00143595
58,833.358,0.49808,0.53073,0.45719,0.92694,0.82215,0.88364,0.88457,0.71898,0.82215,0.88364,0.88457,0.73549,0.70674,0.83902,0.76004,1.03966,0.00143183,0.00143183,0.00143183
59,847.25,0.51169,0.54191,0.47876,0.93651,0.8351,0.82933,0.87181,0.74743,0.8351,0.82933,0.87181,0.71794,0.62991,0.91091,0.70916,0.97391,0.0014277,0.0014277,0.0014277
60,860.938,0.49344,0.54637,0.45132,0.93729,0.91714,0.82633,0.93284,0.76368,0.91714,0.82633,0.9389,0.77116,0.68036,0.83925,0.64485,1.02469,0.00142358,0.00142358,0.00142358
61,874.606,0.51622,0.55328,0.46755,0.94335,0.83033,0.7625,0.84989,0.69009,0.83033,0.7625,0.84989,0.70808,0.67223,0.86355,0.8328,0.98832,0.00141945,0.00141945,0.00141945
62,888.424,0.48225,0.5006,0.43967,0.93019,0.95008,0.89561,0.92187,0.77955,0.95008,0.89561,0.92187,0.77994,0.66169,0.82552,0.61412,1.00458,0.00141532,0.00141532,0.00141532
63,902.18,0.49248,0.53065,0.44867,0.93908,0.86506,0.85257,0.87983,0.75417,0.8678,0.8375,0.86851,0.74701,0.64419,0.95967,0.63432,0.98996,0.0014112,0.0014112,0.0014112
64,915.782,0.4766,0.48775,0.44213,0.92197,0.8987,0.80619,0.89171,0.75007,0.8987,0.80619,0.90218,0.75353,0.7085,0.8155,0.67997,1.02581,0.00140707,0.00140707,0.00140707
65,929.451,0.47378,0.45566,0.44462,0.92554,0.85509,0.77917,0.84747,0.72787,0.85509,0.77917,0.84747,0.71677,0.59618,0.8437,0.76434,0.96824,0.00140295,0.00140295,0.00140295
66,942.965,0.45221,0.45981,0.41667,0.92224,0.82203,0.79583,0.85698,0.7182,0.82203,0.79583,0.85698,0.71369,0.65356,0.91435,0.7058,1.02542,0.00139882,0.00139882,0.00139882
67,956.494,0.47301,0.53014,0.45233,0.9128,0.81017,0.78869,0.84036,0.68369,0.81017,0.78869,0.84036,0.68412,0.68589,0.85516,0.80906,1.01171,0.0013947,0.0013947,0.0013947
