image,decoded,status
00285390.jpg,002-85390,ok
012023030340002.jpg,012023030340002,ok
1D1I65212740006.jpg,1D1I65212740006,ok
1D6C1557833001.jpg,,error
1G9V68937920005.jpg,,decode_failed
1M7Y42823110001.jpg,,decode_failed
1Z9R91386400004.jpg,,decode_failed
250112345670001.jpg,250112345670001,ok
250114223320043.jpg,250114398270043,ok
250115190140006.jpg,250115190140006,ok
2501151902100-16-1.jpg,,decode_failed
2I0D73552420007.jpg,2I0D73552420007,ok
3F2B03337990004.jpg,95062804w77,ok
3F2B03337990005-1.jpg,,decode_failed
3F2B03337990005.jpg,3F2B03337990005,ok
3F5U86536270001.jpg,,decode_failed
4098925013.jpg,,decode_failed
4A1J56767480003.jpg,,decode_failed
4F1K99136940006.jpg,4F1K99136940006,ok
4J5W15283920003.jpg,,decode_failed
4P4Z69947180006.jpg,4P4Z69947180006,ok
4S4T22854910006-1.jpg,,decode_failed
4S4T22854910006.jpg,4S4T22854910006,ok
5N9J62965140003.jpg,,decode_failed
7B3T65127450001.jpg,7B3T65127450001,ok
7J0R29788390006.jpg,,decode_failed
7M0E73058140001.jpg,7M0E73058140001,ok
7T5U77406540002.jpg,7T5U77406540002,ok
8B0Y55512710002.jpg,,decode_failed
9A6A61992290006.jpg,9A6A61992290006,ok
9E4T59892670003.jpg,9E4T59892670003,ok
9T1Y72928950004.jpg,,decode_failed
9T6Q37974570010.jpg,,decode_failed
9VOM60115030007.jpg,,decode_failed
A56NA0495900013.jpg,A56NA0495900013,ok
A56NA0509600013.jpg,A56NA0509600013,ok
