epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.941,1.13937,2.60538,2.34109,0.26524,0.60476,0.31252,0.24561,1.11754,4.30069,2.0251,0.000542437,0.000542437,0.000542437
2,500.831,0.72092,1.01986,1.98821,0.49659,0.58571,0.45167,0.36194,0.88111,3.07644,1.98747,0.00108723,0.00108723,0.00108723
3,750.222,0.69748,0.76569,1.99194,0.62522,0.5619,0.62047,0.49861,0.94191,2.05209,1.96512,0.00162103,0.00162103,0.00162103
4,998.821,0.65611,0.62187,1.93044,0.58859,0.70556,0.63241,0.53452,0.89685,2.08486,1.88086,0.00161749,0.00161749,0.00161749
5,1251.33,0.65351,0.61063,1.92545,0.52974,0.77143,0.63658,0.49104,0.89382,1.95096,1.98843,0.00160099,0.00160099,0.00160099
6,1502.56,0.61856,0.56454,1.916,0.65575,0.82832,0.75374,0.61153,0.91517,1.77209,1.89004,0.00158448,0.00158448,0.00158448
7,1749.89,0.62688,0.53576,1.89671,0.79539,0.79524,0.83801,0.6931,0.89058,1.73203,1.93741,0.00156798,0.00156798,0.00156798
8,1999.54,0.6255,0.51611,1.94667,0.83596,0.8619,0.87371,0.78171,0.77044,1.38273,1.88433,0.00155148,0.00155148,0.00155148
9,2248.92,0.59364,0.49262,1.92691,0.82158,0.69947,0.81673,0.71875,0.64086,1.71852,1.72564,0.00153497,0.00153497,0.00153497
10,2497.65,0.55033,0.46412,1.83304,0.85165,0.79524,0.85807,0.74538,0.81237,1.66715,1.93508,0.00151847,0.00151847,0.00151847
11,2747.74,0.56537,0.46734,1.8073,0.82585,0.74762,0.82656,0.71583,0.69109,1.28217,1.72277,0.00150197,0.00150197,0.00150197
12,2997.8,0.57545,0.46403,1.86616,0.8466,0.74762,0.83443,0.73098,0.78256,1.24675,1.74177,0.00148546,0.00148546,0.00148546
13,3246.54,0.5518,0.43467,1.82659,0.7628,0.88549,0.87313,0.77617,0.65685,1.23568,1.68646,0.00146896,0.00146896,0.00146896
14,3496.39,0.52766,0.41398,1.81453,0.77211,0.85039,0.85491,0.75193,0.69645,1.4374,1.65621,0.00145246,0.00145246,0.00145246
15,3745.08,0.53353,0.40568,1.83831,0.82191,0.79827,0.88355,0.79458,0.69614,1.14229,1.75886,0.00143595,0.00143595,0.00143595
16,3995.74,0.55517,0.42719,1.82125,0.85844,0.76328,0.81939,0.7018,0.86045,1.68099,1.77304,0.00141945,0.00141945,0.00141945
17,4245.24,0.55241,0.41149,1.8285,0.90566,0.83196,0.89954,0.8095,0.61769,0.98196,1.64701,0.00140295,0.00140295,0.00140295
18,4493.57,0.50385,0.378,1.77732,0.94365,0.82915,0.91535,0.82756,0.58672,1.20614,1.70109,0.00138644,0.00138644,0.00138644
19,4743.77,0.54212,0.40924,1.79643,0.79151,0.89524,0.90662,0.80901,0.65478,1.24209,1.68368,0.00136994,0.00136994,0.00136994
20,4994.08,0.5132,0.40669,1.79031,0.88482,0.81905,0.88878,0.78751,0.66555,0.94876,1.63576,0.00135344,0.00135344,0.00135344
21,5246.16,0.50504,0.38452,1.82313,0.84975,0.86546,0.8753,0.77143,0.73592,1.06229,1.78626,0.00133693,0.00133693,0.00133693
22,5496.46,0.49179,0.37935,1.76997,0.95379,0.8619,0.89662,0.78847,0.73803,1.16859,1.90698,0.00132043,0.00132043,0.00132043
23,5747.01,0.49399,0.37415,1.76506,0.861,0.7619,0.78268,0.70376,0.6835,2.04545,1.73478,0.00130393,0.00130393,0.00130393
24,5998.84,0.5025,0.39032,1.80587,0.90009,0.83617,0.87774,0.81992,0.75846,1.42631,1.74575,0.00128742,0.00128742,0.00128742
25,6313.49,0.51754,0.38361,1.76275,0.93644,0.87143,0.90478,0.81502,0.64697,1.06823,1.7541,0.00127092,0.00127092,0.00127092
26,6562.31,0.53152,0.39261,1.7859,0.87056,0.77878,0.83303,0.7439,0.64377,1.59689,1.67725,0.00125442,0.00125442,0.00125442
27,6811.36,0.4835,0.35879,1.74677,0.90015,0.82857,0.87014,0.80067,0.6267,1.80332,1.74446,0.00123791,0.00123791,0.00123791
28,7057.82,0.49825,0.37625,1.79551,0.90499,0.88571,0.93675,0.85261,0.65328,0.96893,1.83292,0.00122141,0.00122141,0.00122141
29,7307.36,0.4705,0.36079,1.77747,0.98778,0.88507,0.95076,0.85185,0.70015,0.93413,1.80133,0.00120491,0.00120491,0.00120491
30,7555.81,0.47385,0.34811,1.73638,0.93811,0.88571,0.89267,0.78427,0.69475,1.29611,1.84271,0.0011884,0.0011884,0.0011884
31,7803.7,0.4887,0.35666,1.7681,0.86819,0.82003,0.85417,0.77786,0.67811,1.8093,1.74278,0.0011719,0.0011719,0.0011719
32,8049.88,0.50116,0.37624,1.75887,0.79926,0.79323,0.83167,0.74661,0.60769,1.44723,1.55072,0.0011554,0.0011554,0.0011554
33,8297.87,0.49907,0.36066,1.79505,0.90628,0.87619,0.86311,0.76267,0.70352,1.84666,1.83712,0.00113889,0.00113889,0.00113889
34,8548.91,0.47888,0.34716,1.79205,0.90948,0.87143,0.91129,0.83335,0.66565,0.94139,1.7437,0.00112239,0.00112239,0.00112239
35,8798.39,0.46282,0.34486,1.72896,0.80312,0.7619,0.82308,0.76001,0.67663,1.89457,1.77257,0.00110589,0.00110589,0.00110589
36,9047.61,0.46797,0.3464,1.75288,0.81874,0.86358,0.92058,0.8253,0.72338,1.1818,1.77047,0.00108938,0.00108938,0.00108938
37,9296.61,0.48467,0.36598,1.76481,0.92865,0.91905,0.94452,0.84987,0.66544,1.01435,1.76675,0.00107288,0.00107288,0.00107288
38,9549.62,0.47241,0.35431,1.74741,0.90231,0.87143,0.86934,0.78329,0.62861,0.96606,1.74548,0.00105638,0.00105638,0.00105638
39,9809.47,0.46807,0.35301,1.71685,0.94546,0.87268,0.92568,0.8494,0.49964,0.8422,1.64978,0.00103987,0.00103987,0.00103987
40,10058.4,0.47404,0.33781,1.69997,0.94211,0.84591,0.89832,0.83351,0.58994,1.47798,1.72326,0.00102337,0.00102337,0.00102337
41,10314.9,0.45658,0.32558,1.66411,0.91624,0.90488,0.94526,0.86164,0.52003,0.76343,1.4918,0.00100687,0.00100687,0.00100687
42,10571.3,0.44845,0.32353,1.69334,0.91221,0.86134,0.91626,0.82122,0.61247,1.1586,1.61369,0.000990365,0.000990365,0.000990365
43,10832,0.4514,0.32662,1.7093,0.93096,0.88571,0.90665,0.84522,0.54902,0.96229,1.71136,0.000973861,0.000973861,0.000973861
44,11103,0.46264,0.33868,1.75581,0.89337,0.8619,0.87723,0.81415,0.52394,1.18971,1.5486,0.000957358,0.000957358,0.000957358
45,11367.5,0.45988,0.32741,1.76277,0.91071,0.85365,0.88946,0.82926,0.67058,1.14878,1.7038,0.000940855,0.000940855,0.000940855
46,11616.7,0.44988,0.32682,1.67391,0.94643,0.78095,0.88616,0.82104,0.70502,1.30527,1.64545,0.000924352,0.000924352,0.000924352
47,11872.4,0.45771,0.33876,1.74618,0.92429,0.84762,0.89188,0.83366,0.57106,1.04632,1.65936,0.000907848,0.000907848,0.000907848
48,12134.2,0.45961,0.33642,1.74298,0.89119,0.77143,0.78616,0.72877,0.60587,2.06398,1.55201,0.000891345,0.000891345,0.000891345
49,12393,0.43335,0.3133,1.66757,0.95666,0.91575,0.94232,0.87281,0.69303,0.9557,1.75001,0.000874842,0.000874842,0.000874842
50,12655.1,0.44876,0.32599,1.69312,0.9011,0.89524,0.9438,0.86834,0.63704,1.07927,1.76202,0.000858338,0.000858338,0.000858338
51,12923.9,0.43017,0.31442,1.64666,0.91645,0.83396,0.90643,0.86344,0.56978,0.84376,1.68532,0.000841835,0.000841835,0.000841835
52,13183.6,0.44765,0.32363,1.6886,0.9226,0.82857,0.88587,0.80609,0.64995,1.6605,1.68297,0.000825332,0.000825332,0.000825332
53,13443.7,0.42405,0.30795,1.66257,0.8466,0.8619,0.90263,0.86257,0.66903,1.09027,1.78428,0.000808828,0.000808828,0.000808828
54,13700.8,0.42469,0.30309,1.641,0.92785,0.84052,0.9217,0.84162,0.67809,1.11117,1.71688,0.000792325,0.000792325,0.000792325
55,13960.8,0.41202,0.29873,1.64264,0.88768,0.8381,0.90286,0.86254,0.61173,1.01697,1.72821,0.000775822,0.000775822,0.000775822
56,14221.9,0.4144,0.30436,1.67339,0.91352,0.7667,0.89561,0.85905,0.59302,0.98351,1.65626,0.000759318,0.000759318,0.000759318
57,14485,0.4426,0.32261,1.72357,0.92477,0.79048,0.85297,0.825,0.65049,1.3685,1.62744,0.000742815,0.000742815,0.000742815
58,14743.1,0.44121,0.3164,1.67789,0.91135,0.78095,0.84095,0.81719,0.69959,1.68952,1.70788,0.000726312,0.000726312,0.000726312
59,15015.5,0.43254,0.31778,1.6679,0.8456,0.85726,0.89962,0.86808,0.62043,1.07878,1.55382,0.000709809,0.000709809,0.000709809
60,15275.4,0.41845,0.30468,1.63713,0.90408,0.91648,0.92523,0.88784,0.52329,0.85353,1.43105,0.000693305,0.000693305,0.000693305
61,15533.1,0.43725,0.31614,1.68995,0.94385,0.91905,0.95743,0.89921,0.56549,0.77515,1.64791,0.000676802,0.000676802,0.000676802
62,15791.8,0.40693,0.3068,1.65945,0.89855,0.9167,0.92841,0.8682,0.74519,0.94067,1.91358,0.000660299,0.000660299,0.000660299
63,16056.9,0.40777,0.29652,1.67203,0.90358,0.91905,0.91956,0.8732,0.67057,0.8856,1.74821,0.000643795,0.000643795,0.000643795
64,16317.7,0.41005,0.29521,1.61997,0.8571,0.85767,0.87279,0.82541,0.72353,1.55027,1.71454,0.000627292,0.000627292,0.000627292
65,16582.9,0.40837,0.29773,1.67127,0.95676,0.8577,0.93432,0.86465,0.71925,1.02165,1.73195,0.000610789,0.000610789,0.000610789
66,16850.6,0.38437,0.28102,1.6059,0.92898,0.88571,0.88921,0.84301,0.54485,1.29479,1.44239,0.000594286,0.000594286,0.000594286
67,17110.7,0.39118,0.28121,1.63216,0.85892,0.89524,0.92248,0.88415,0.53236,1.02422,1.52195,0.000577782,0.000577782,0.000577782
68,17375.6,0.41043,0.29987,1.66542,0.84139,0.82381,0.86947,0.83585,0.60955,1.12873,1.73033,0.000561279,0.000561279,0.000561279
69,17647,0.40564,0.28454,1.61791,0.8564,0.87143,0.8903,0.85164,0.57835,1.0267,1.5914,0.000544776,0.000544776,0.000544776
70,17902.6,0.40462,0.30112,1.65125,0.92384,0.85982,0.89991,0.86542,0.52858,1.3337,1.47776,0.000528272,0.000528272,0.000528272
71,18170.3,0.38449,0.27264,1.60047,0.89465,0.82837,0.88302,0.8525,0.54753,1.45083,1.51436,0.000511769,0.000511769,0.000511769
72,18438.9,0.39696,0.29117,1.65159,0.882,0.91643,0.93421,0.87766,0.68647,0.91779,1.80548,0.000495266,0.000495266,0.000495266
73,18701.6,0.38805,0.28801,1.64005,0.95004,0.89524,0.93479,0.90282,0.54867,0.93732,1.56015,0.000478762,0.000478762,0.000478762
74,18960,0.39428,0.27751,1.64707,0.92218,0.89139,0.92201,0.88565,0.65199,1.14516,1.675,0.000462259,0.000462259,0.000462259
75,19229.1,0.40529,0.28425,1.65185,0.90364,0.89355,0.90625,0.86725,0.58428,1.17446,1.5712,0.000445756,0.000445756,0.000445756
76,19491.4,0.38942,0.27792,1.62515,0.88491,0.91054,0.91926,0.86895,0.61838,0.95844,1.7504,0.000429253,0.000429253,0.000429253
77,19752.8,0.38724,0.2817,1.63767,0.93,0.88571,0.90302,0.85831,0.61003,1.14559,1.73436,0.000412749,0.000412749,0.000412749
78,20016.1,0.38358,0.27511,1.61146,0.90924,0.89524,0.91954,0.86872,0.65967,0.9299,1.73052,0.000396246,0.000396246,0.000396246
79,20281.5,0.38836,0.28372,1.62033,0.96113,0.89524,0.95188,0.88552,0.58871,0.7931,1.64366,0.000379743,0.000379743,0.000379743
80,20548.9,0.38395,0.27812,1.64807,0.94142,0.92673,0.94679,0.87406,0.62696,0.86534,1.71876,0.000363239,0.000363239,0.000363239
81,20808.2,0.38766,0.27191,1.65125,0.92545,0.87143,0.91575,0.88086,0.55026,0.95603,1.56489,0.000346736,0.000346736,0.000346736
82,21076.8,0.38855,0.27714,1.64966,0.90198,0.87008,0.90585,0.87566,0.58832,1.05368,1.67562,0.000330233,0.000330233,0.000330233
83,21343.4,0.38123,0.2735,1.58602,0.8771,0.8619,0.90972,0.86693,0.53154,1.19847,1.5693,0.000313729,0.000313729,0.000313729
84,21613.7,0.37974,0.27489,1.59981,0.92214,0.91373,0.93441,0.87936,0.58652,0.79538,1.71765,0.000297226,0.000297226,0.000297226
85,21877.9,0.37043,0.26715,1.60673,0.89282,0.89521,0.9309,0.88803,0.59827,0.75419,1.6133,0.000280723,0.000280723,0.000280723
86,22146.7,0.36658,0.26047,1.63476,0.9593,0.91905,0.9404,0.87837,0.59309,0.74251,1.77799,0.00026422,0.00026422,0.00026422
87,22413.3,0.36883,0.27484,1.57581,0.9301,0.89524,0.91842,0.8797,0.57478,0.71475,1.69701,0.000247716,0.000247716,0.000247716
88,22677.3,0.36404,0.26154,1.59134,0.92614,0.89524,0.9274,0.86664,0.56964,0.72772,1.72781,0.000231213,0.000231213,0.000231213
89,22947.7,0.34593,0.24844,1.54252,0.96067,0.91905,0.95424,0.87814,0.57764,0.8069,1.77768,0.00021471,0.00021471,0.00021471
90,23214.3,0.36628,0.26429,1.62999,0.9143,0.91714,0.93503,0.88302,0.5764,0.72276,1.70579,0.000198206,0.000198206,0.000198206
91,23475.4,0.22621,0.18617,1.10628,0.94328,0.91498,0.9338,0.87329,0.57878,0.82662,1.83639,0.000181703,0.000181703,0.000181703
92,23742,0.22842,0.17948,1.14047,0.89967,0.88571,0.91799,0.85364,0.59643,1.03953,1.8084,0.0001652,0.0001652,0.0001652
93,24009.6,0.2317,0.1789,1.12292,0.86821,0.91905,0.93633,0.87179,0.63267,1.001,1.81098,0.000148696,0.000148696,0.000148696
94,24260.3,0.2207,0.17273,1.07868,0.88283,0.89524,0.90605,0.87651,0.64248,0.98155,1.80031,0.000132193,0.000132193,0.000132193
95,24524.2,0.21759,0.16817,1.08489,0.90364,0.8619,0.90396,0.87678,0.64827,1.08968,1.85782,0.00011569,0.00011569,0.00011569
96,24791,0.21551,0.1692,1.11028,0.90441,0.8619,0.88755,0.85618,0.64564,1.20256,1.83157,9.91865e-05,9.91865e-05,9.91865e-05
97,25051.6,0.21131,0.166,1.10049,0.9059,0.8619,0.89395,0.86915,0.65508,1.14282,1.87278,8.26832e-05,8.26832e-05,8.26832e-05
98,25313.2,0.21404,0.16588,1.096,0.9078,0.8619,0.90965,0.87827,0.64776,1.10198,1.84032,6.61799e-05,6.61799e-05,6.61799e-05
99,25578.3,0.20972,0.16476,1.08876,0.90713,0.8619,0.91167,0.8785,0.64975,1.02233,1.83612,4.96766e-05,4.96766e-05,4.96766e-05
100,25846.8,0.20719,0.16463,1.06717,0.90734,0.8619,0.91167,0.87697,0.65856,1.02567,1.86576,3.31733e-05,3.31733e-05,3.31733e-05
