epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.157,2.06377,5.8509,2.50672,0.09364,0.18095,0.09441,0.04814,1.41912,4.4056,2.14664,0.0001667,0.0001667,0.0001667
2,198.965,1.17562,3.6778,2.14435,0.72193,0.22572,0.29835,0.21361,0.92908,4.92304,1.81619,0.000346604,0.000346604,0.000346604
3,263.172,0.93761,2.87532,1.8124,0.37939,0.55714,0.45967,0.37137,0.91271,5.07633,1.8802,0.000522878,0.000522878,0.000522878
4,331.964,0.86585,2.32839,1.80976,0.44299,0.5619,0.53181,0.39428,1.12291,6.00516,2.08893,0.000695521,0.000695521,0.000695521
5,399.092,0.88196,1.93531,1.75292,0.75708,0.59048,0.68537,0.53497,0.87509,3.03975,1.78942,0.000864533,0.000864533,0.000864533
6,467.854,0.82112,1.72952,1.74523,0.79106,0.69524,0.74861,0.62742,0.82373,2.06003,1.81062,0.00102991,0.00102991,0.00102991
7,535.629,0.82313,1.44847,1.68721,0.80402,0.72381,0.80329,0.60382,0.97834,2.0893,1.8508,0.00119166,0.00119166,0.00119166
8,602.35,0.90381,1.43884,1.73294,0.81841,0.74286,0.85874,0.66824,0.87482,1.86203,1.86794,0.00134978,0.00134978,0.00134978
9,669.888,0.86646,1.29406,1.7556,0.69014,0.72857,0.84315,0.6711,0.75825,2.38315,1.74603,0.00150427,0.00150427,0.00150427
10,736.688,0.7933,1.13182,1.66206,0.74015,0.80077,0.81492,0.67755,0.7192,1.89171,1.73672,0.00151847,0.00151847,0.00151847
11,803.881,0.79159,1.0984,1.69174,0.94001,0.79013,0.8956,0.71213,0.74883,1.38096,1.74627,0.00150197,0.00150197,0.00150197
12,871.055,0.70553,0.95515,1.67699,0.85683,0.75238,0.86042,0.71263,0.73387,1.77483,1.67293,0.00148546,0.00148546,0.00148546
13,937.441,0.79256,1.02287,1.72836,0.87338,0.84762,0.91202,0.74798,0.73073,1.32873,1.72037,0.00146896,0.00146896,0.00146896
14,1008.09,0.7629,0.93816,1.65138,0.83622,0.88189,0.91484,0.73597,0.70614,1.16867,1.58453,0.00145246,0.00145246,0.00145246
15,1079.11,0.71784,0.87203,1.66719,0.91893,0.81452,0.91134,0.78844,0.64543,1.13076,1.60171,0.00143595,0.00143595,0.00143595
16,1151.44,0.71928,0.90296,1.73466,0.83676,0.77793,0.84109,0.68747,0.75504,1.91582,1.69084,0.00141945,0.00141945,0.00141945
17,1221.9,0.75074,0.90178,1.69169,0.93383,0.79048,0.87369,0.75311,0.72495,1.57764,1.69811,0.00140295,0.00140295,0.00140295
18,1290.86,0.76638,0.84694,1.60655,0.99155,0.83827,0.92813,0.81163,0.61704,0.92721,1.61003,0.00138644,0.00138644,0.00138644
19,1367.08,0.74792,0.81224,1.70198,0.90686,0.87354,0.91851,0.77467,0.6577,1.02264,1.6997,0.00136994,0.00136994,0.00136994
20,1450.01,0.7161,0.80599,1.64619,0.86012,0.75583,0.85959,0.74039,0.66854,1.2128,1.72895,0.00135344,0.00135344,0.00135344
21,1524.85,0.68848,0.74541,1.70671,0.75694,0.76145,0.82062,0.7095,0.66401,1.1549,1.683,0.00133693,0.00133693,0.00133693
22,1593.99,0.68169,0.66397,1.59489,0.82116,0.82531,0.87872,0.75934,0.71814,1.08119,1.69632,0.00132043,0.00132043,0.00132043
23,1661.22,0.67397,0.66478,1.68896,0.8334,0.88701,0.90874,0.79784,0.71701,1.06591,1.73791,0.00130393,0.00130393,0.00130393
24,1727.87,0.67261,0.68051,1.63886,0.882,0.84215,0.89841,0.77481,0.7419,1.06708,1.81657,0.00128742,0.00128742,0.00128742
25,1798.71,0.72894,0.74349,1.67591,0.98375,0.89006,0.9377,0.79802,0.71637,1.18366,1.77129,0.00127092,0.00127092,0.00127092
26,1866.79,0.65122,0.65964,1.54664,0.93064,0.8381,0.88982,0.78761,0.75067,1.3969,1.78478,0.00125442,0.00125442,0.00125442
27,1935.16,0.7071,0.70362,1.66739,0.85352,0.85628,0.87062,0.75921,0.70069,1.45419,1.72613,0.00123791,0.00123791,0.00123791
28,2002.85,0.66579,0.6609,1.69272,0.93692,0.84888,0.90164,0.78364,0.61574,1.24419,1.60887,0.00122141,0.00122141,0.00122141
29,2070.22,0.65776,0.68522,1.74883,0.83266,0.87143,0.91058,0.76905,0.63511,1.05221,1.59598,0.00120491,0.00120491,0.00120491
30,2137.63,0.69608,0.68815,1.72109,0.86126,0.89524,0.91297,0.79723,0.60044,1.19741,1.66738,0.0011884,0.0011884,0.0011884
31,2204.41,0.62426,0.71291,1.62466,0.78523,0.8804,0.89111,0.77155,0.64646,1.12644,1.70217,0.0011719,0.0011719,0.0011719
32,2271.14,0.62156,0.6123,1.56627,0.93047,0.83352,0.91351,0.80702,0.69027,1.09252,1.65016,0.0011554,0.0011554,0.0011554
33,2339,0.6108,0.59701,1.6068,0.95651,0.83586,0.91056,0.82403,0.67323,1.08143,1.66365,0.00113889,0.00113889,0.00113889
34,2406.65,0.59342,0.57317,1.55755,0.94837,0.89524,0.91901,0.80656,0.6433,1.01375,1.63476,0.00112239,0.00112239,0.00112239
35,2474.2,0.63163,0.65022,1.61579,0.94707,0.83169,0.91406,0.81977,0.635,1.03664,1.62055,0.00110589,0.00110589,0.00110589
36,2542.24,0.61799,0.58603,1.63843,0.96169,0.87143,0.90914,0.82727,0.59631,0.9408,1.64941,0.00108938,0.00108938,0.00108938
37,2608.98,0.64316,0.5914,1.63974,0.95969,0.86089,0.90337,0.8174,0.59169,0.87282,1.63409,0.00107288,0.00107288,0.00107288
38,2677.82,0.58722,0.5249,1.61963,0.99329,0.8651,0.91108,0.82288,0.59386,0.95083,1.59965,0.00105638,0.00105638,0.00105638
39,2746.5,0.64149,0.58734,1.72059,0.96855,0.86007,0.93398,0.84384,0.60755,0.81776,1.6332,0.00103987,0.00103987,0.00103987
40,2813.76,0.56029,0.52972,1.64914,0.95132,0.83122,0.921,0.80817,0.63529,0.98238,1.65369,0.00102337,0.00102337,0.00102337
41,2882.22,0.63215,0.61658,1.61328,0.88262,0.83717,0.90259,0.77531,0.60326,1.03092,1.64291,0.00100687,0.00100687,0.00100687
42,2951,0.5964,0.60217,1.61426,0.89534,0.81283,0.89914,0.806,0.65591,1.06015,1.60684,0.000990365,0.000990365,0.000990365
43,3021.95,0.5984,0.55767,1.61549,0.93233,0.79645,0.89215,0.81048,0.64359,1.1868,1.72429,0.000973861,0.000973861,0.000973861
44,3091.71,0.55773,0.51509,1.55971,0.90796,0.81594,0.89625,0.82508,0.66284,1.26548,1.76817,0.000957358,0.000957358,0.000957358
45,3163.62,0.5616,0.46746,1.5964,0.84478,0.85538,0.89535,0.83356,0.69664,1.57261,1.79668,0.000940855,0.000940855,0.000940855
46,3235.41,0.57132,0.51903,1.58009,0.92349,0.86701,0.93841,0.85473,0.55737,0.8153,1.6501,0.000924352,0.000924352,0.000924352
47,3307.73,0.56407,0.5201,1.58365,0.99104,0.84104,0.94497,0.8638,0.50049,0.68063,1.62991,0.000907848,0.000907848,0.000907848
48,3380.38,0.56011,0.5186,1.67995,0.97762,0.84762,0.95359,0.85687,0.51817,0.71198,1.64804,0.000891345,0.000891345,0.000891345
49,3451.94,0.50907,0.49458,1.51522,0.98906,0.84548,0.94252,0.86292,0.57839,0.91137,1.66056,0.000874842,0.000874842,0.000874842
50,3523.08,0.57736,0.52142,1.57712,0.97655,0.87469,0.94653,0.86849,0.54725,0.837,1.61398,0.000858338,0.000858338,0.000858338
51,3594.89,0.58457,0.5397,1.63599,0.90953,0.91905,0.9539,0.86006,0.51828,0.7351,1.57547,0.000841835,0.000841835,0.000841835
52,3665.34,0.50881,0.46108,1.59536,0.95876,0.85172,0.9339,0.85208,0.55015,0.66117,1.58404,0.000825332,0.000825332,0.000825332
53,3734.59,0.55341,0.44771,1.59225,0.97074,0.85416,0.95144,0.85988,0.53913,0.66556,1.5823,0.000808828,0.000808828,0.000808828
54,3803.54,0.55002,0.50355,1.59117,0.89615,0.91505,0.94448,0.87489,0.50374,0.68123,1.54441,0.000792325,0.000792325,0.000792325
55,3874.07,0.51152,0.4475,1.57095,0.94892,0.86814,0.94691,0.87416,0.50334,0.69133,1.51666,0.000775822,0.000775822,0.000775822
56,3944.15,0.51221,0.43326,1.62667,0.99162,0.86746,0.94134,0.86891,0.53296,0.73518,1.57105,0.000759318,0.000759318,0.000759318
57,4016,0.55119,0.52797,1.58613,0.99018,0.87143,0.94221,0.86277,0.55272,0.77907,1.61028,0.000742815,0.000742815,0.000742815
58,4085.86,0.52419,0.46476,1.51608,1,0.89423,0.93944,0.87246,0.52671,0.74228,1.59621,0.000726312,0.000726312,0.000726312
59,4157.71,0.47543,0.44058,1.4893,0.99523,0.89248,0.95457,0.89309,0.48458,0.68617,1.55759,0.000709809,0.000709809,0.000709809
60,4230.63,0.5417,0.47185,1.54085,0.94795,0.91685,0.94319,0.8762,0.51161,0.73887,1.58273,0.000693305,0.000693305,0.000693305
61,4302.21,0.45436,0.41171,1.46472,0.91957,0.89524,0.93463,0.87596,0.57618,0.8263,1.65446,0.000676802,0.000676802,0.000676802
62,4374.72,0.54328,0.47376,1.60033,0.92518,0.86729,0.93587,0.87774,0.55156,0.91767,1.65369,0.000660299,0.000660299,0.000660299
63,4445.22,0.55054,0.47369,1.57291,0.92537,0.87244,0.93827,0.89037,0.52518,0.89978,1.59381,0.000643795,0.000643795,0.000643795
64,4517.56,0.47786,0.41312,1.52775,0.96507,0.88933,0.93614,0.87469,0.55476,1.00187,1.57851,0.000627292,0.000627292,0.000627292
65,4587.72,0.48209,0.41177,1.44816,0.9666,0.89103,0.93212,0.85232,0.57549,1.01895,1.57496,0.000610789,0.000610789,0.000610789
66,4658.66,0.48671,0.43016,1.48975,0.93084,0.89524,0.91201,0.84466,0.59402,1.00836,1.59136,0.000594286,0.000594286,0.000594286
67,4728.91,0.49904,0.44164,1.53802,0.97253,0.8396,0.92763,0.86586,0.54363,0.97137,1.55426,0.000577782,0.000577782,0.000577782
68,4797.48,0.46169,0.42905,1.47716,0.9093,0.8902,0.93105,0.86967,0.53291,0.92525,1.5622,0.000561279,0.000561279,0.000561279
69,4866.45,0.51153,0.45792,1.4721,0.93221,0.87413,0.93573,0.88072,0.55549,0.90312,1.59418,0.000544776,0.000544776,0.000544776
70,4937.94,0.46427,0.40342,1.52901,0.9552,0.87143,0.9377,0.87857,0.57254,0.83237,1.57659,0.000528272,0.000528272,0.000528272
71,5008.25,0.51886,0.44183,1.45303,0.94144,0.87143,0.93174,0.85816,0.58767,0.83631,1.62337,0.000511769,0.000511769,0.000511769
72,5080.18,0.47702,0.43404,1.5101,0.97677,0.86394,0.91587,0.86521,0.58455,0.8786,1.62196,0.000495266,0.000495266,0.000495266
73,5151.8,0.49747,0.4259,1.51014,0.97574,0.86454,0.92533,0.87683,0.5679,0.86616,1.58864,0.000478762,0.000478762,0.000478762
74,5222.64,0.48413,0.41304,1.60958,0.98961,0.83097,0.92737,0.87119,0.58035,0.86614,1.6615,0.000462259,0.000462259,0.000462259
