epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6928,1.23884,2.98597,2.47103,0.8236,0.2937,0.36212,0.28735,0.82338,2.87161,1.81475,0.000542744,0.000542744,0.000542744
2,30.33,0.72971,1.04383,2.0174,0.4743,0.5406,0.52776,0.39922,0.77866,1.84405,1.82557,0.00108754,0.00108754,0.00108754
3,35.5919,0.67821,0.73555,1.92676,0.72988,0.62,0.75838,0.62561,0.66007,1.27828,1.71667,0.00162133,0.00162133,0.00162133
4,40.6414,0.68144,0.62109,1.9341,0.70351,0.66156,0.73468,0.61554,0.73618,1.36956,1.72295,0.00161749,0.00161749,0.00161749
5,45.4745,0.65867,0.57538,1.89703,0.74011,0.78482,0.81783,0.71933,0.59845,1.57785,1.60783,0.00160099,0.00160099,0.00160099
6,50.5323,0.62379,0.57099,1.88102,0.85322,0.79608,0.89034,0.74013,0.66961,0.80972,1.61289,0.00158448,0.00158448,0.00158448
7,55.5052,0.58172,0.48714,1.79279,0.91814,0.83729,0.92124,0.74885,0.72046,0.72697,1.75558,0.00156798,0.00156798,0.00156798
8,60.4351,0.57104,0.48584,1.86561,0.82302,0.87629,0.94883,0.80966,0.6182,0.67543,1.55962,0.00155148,0.00155148,0.00155148
9,65.4194,0.60405,0.47199,1.91466,0.96209,0.87259,0.94769,0.81088,0.61422,0.6106,1.67708,0.00153497,0.00153497,0.00153497
10,70.3595,0.5623,0.45934,1.83796,0.937,0.88115,0.93081,0.81669,0.58541,0.56115,1.53419,0.00151847,0.00151847,0.00151847
11,75.2874,0.57374,0.45393,1.82508,0.90809,0.77333,0.92289,0.79708,0.5806,0.62841,1.59638,0.00150197,0.00150197,0.00150197
12,80.3339,0.57566,0.46593,1.85487,0.88326,0.8884,0.94924,0.82556,0.565,0.63817,1.59804,0.00148546,0.00148546,0.00148546
13,85.4085,0.55553,0.44007,1.85165,0.87013,0.87333,0.93083,0.81242,0.56415,0.63317,1.63453,0.00146896,0.00146896,0.00146896
14,90.172,0.54028,0.42119,1.80715,0.95671,0.76,0.8971,0.80642,0.54857,0.79388,1.58055,0.00145246,0.00145246,0.00145246
15,94.9415,0.5382,0.41671,1.7835,0.93717,0.80667,0.91679,0.82938,0.5023,0.63554,1.5378,0.00143595,0.00143595,0.00143595
16,99.9477,0.54505,0.42818,1.88057,0.86081,0.84566,0.89518,0.73572,0.58484,0.77639,1.49704,0.00141945,0.00141945,0.00141945
17,104.798,0.52388,0.41976,1.81246,0.90161,0.88667,0.92439,0.8259,0.51682,0.62528,1.51891,0.00140295,0.00140295,0.00140295
18,109.657,0.53583,0.41789,1.80295,0.84622,0.84618,0.90125,0.80919,0.55198,0.62039,1.47354,0.00138644,0.00138644,0.00138644
19,114.427,0.52984,0.39955,1.79013,0.96724,0.85086,0.92642,0.83138,0.54529,0.58202,1.54143,0.00136994,0.00136994,0.00136994
20,119.446,0.52334,0.3956,1.78975,0.87731,0.92,0.93722,0.8199,0.5825,0.60705,1.52661,0.00135344,0.00135344,0.00135344
21,124.319,0.51259,0.38231,1.78995,0.80602,0.81339,0.90377,0.79483,0.56968,0.80964,1.58255,0.00133693,0.00133693,0.00133693
22,129.128,0.52857,0.41136,1.76912,0.88338,0.95962,0.95357,0.81926,0.52935,0.52793,1.56914,0.00132043,0.00132043,0.00132043
23,133.924,0.50276,0.38618,1.73928,0.96005,0.97345,0.98404,0.86441,0.53527,0.42323,1.49325,0.00130393,0.00130393,0.00130393
24,138.951,0.49676,0.37914,1.75653,0.92253,0.95941,0.96749,0.84633,0.55849,0.55314,1.51366,0.00128742,0.00128742,0.00128742
25,144.01,0.49175,0.36572,1.734,0.94004,0.95801,0.97739,0.88222,0.50675,0.42812,1.46982,0.00127092,0.00127092,0.00127092
26,149.024,0.50433,0.37884,1.74572,0.8484,0.90057,0.9095,0.82059,0.53506,0.5639,1.54446,0.00125442,0.00125442,0.00125442
27,153.834,0.47022,0.36138,1.73098,0.8726,0.91456,0.93164,0.8205,0.4982,0.53667,1.39732,0.00123791,0.00123791,0.00123791
28,158.722,0.50464,0.38645,1.76952,0.95771,0.97312,0.98125,0.88021,0.47841,0.4261,1.46867,0.00122141,0.00122141,0.00122141
29,163.559,0.49479,0.36213,1.72115,0.92882,0.98,0.96587,0.87743,0.45504,0.42997,1.5004,0.00120491,0.00120491,0.00120491
30,168.384,0.48392,0.37454,1.73634,0.91303,0.86557,0.9469,0.84319,0.49158,0.63823,1.4661,0.0011884,0.0011884,0.0011884
31,173.2,0.48572,0.36542,1.73783,0.95854,0.98942,0.99352,0.87735,0.51176,0.43768,1.59709,0.0011719,0.0011719,0.0011719
32,178.01,0.49517,0.36258,1.73268,0.98002,0.97477,0.98782,0.87326,0.55136,0.40776,1.49892,0.0011554,0.0011554,0.0011554
33,182.839,0.47883,0.36029,1.7532,0.90596,0.96,0.95976,0.88004,0.47621,0.42238,1.40174,0.00113889,0.00113889,0.00113889
34,187.743,0.46817,0.35664,1.74699,0.95333,0.96,0.97483,0.86991,0.51507,0.44242,1.44994,0.00112239,0.00112239,0.00112239
35,192.576,0.46792,0.35445,1.70062,0.9655,0.95624,0.99159,0.89574,0.49714,0.34874,1.45836,0.00110589,0.00110589,0.00110589
36,197.545,0.47638,0.34496,1.69591,0.96025,0.93333,0.98178,0.89578,0.45395,0.3872,1.40603,0.00108938,0.00108938,0.00108938
37,202.561,0.46531,0.3436,1.70154,0.91619,0.82232,0.96174,0.88133,0.45847,0.53955,1.51386,0.00107288,0.00107288,0.00107288
38,207.378,0.45629,0.3333,1.68012,0.95527,0.88268,0.93617,0.85813,0.46988,0.50243,1.45073,0.00105638,0.00105638,0.00105638
39,212.244,0.47324,0.34422,1.77237,0.97566,0.96,0.97533,0.88207,0.46197,0.42834,1.47199,0.00103987,0.00103987,0.00103987
40,217.032,0.49165,0.35029,1.7437,0.95903,0.88852,0.93749,0.8442,0.4963,0.48927,1.59126,0.00102337,0.00102337,0.00102337
41,221.903,0.47439,0.34482,1.73952,0.8817,0.92503,0.90429,0.8249,0.46137,0.5983,1.53942,0.00100687,0.00100687,0.00100687
42,226.796,0.48735,0.34849,1.72338,0.89077,0.82667,0.92385,0.85896,0.41945,0.59056,1.48576,0.000990365,0.000990365,0.000990365
43,231.579,0.44712,0.3214,1.69159,0.98849,0.94,0.96705,0.89154,0.46317,0.44034,1.48612,0.000973861,0.000973861,0.000973861
44,236.483,0.44217,0.32194,1.6599,0.98979,0.95442,0.98277,0.90951,0.43802,0.363,1.50238,0.000957358,0.000957358,0.000957358
45,241.572,0.45775,0.33526,1.70458,0.97061,0.9397,0.98933,0.92258,0.42219,0.33861,1.40692,0.000940855,0.000940855,0.000940855
46,246.662,0.45283,0.33741,1.69695,0.95666,0.92667,0.95944,0.89598,0.44905,0.43667,1.44771,0.000924352,0.000924352,0.000924352
47,251.5,0.4354,0.31973,1.69492,0.96065,0.94667,0.97271,0.90884,0.45759,0.3897,1.49161,0.000907848,0.000907848,0.000907848
48,256.326,0.44635,0.33566,1.70485,0.93423,0.88,0.92309,0.82875,0.4506,0.49856,1.39115,0.000891345,0.000891345,0.000891345
49,261.168,0.44003,0.32793,1.67566,0.97761,0.92247,0.9884,0.92097,0.42009,0.37352,1.62122,0.000874842,0.000874842,0.000874842
50,266.06,0.44968,0.32649,1.69734,0.96064,0.94721,0.99094,0.92284,0.42321,0.33271,1.40406,0.000858338,0.000858338,0.000858338
51,271.07,0.42541,0.31016,1.62766,0.99705,0.98,0.99352,0.923,0.43726,0.32344,1.45692,0.000841835,0.000841835,0.000841835
52,276.166,0.42483,0.30871,1.66415,0.9703,0.89333,0.96964,0.90701,0.43106,0.41992,1.36771,0.000825332,0.000825332,0.000825332
53,281.018,0.42231,0.30333,1.64476,0.9964,0.96,0.97723,0.88681,0.45054,0.41213,1.41666,0.000808828,0.000808828,0.000808828
54,285.876,0.43144,0.30809,1.69263,0.98834,0.98,0.98382,0.92457,0.42932,0.33455,1.40463,0.000792325,0.000792325,0.000792325
55,290.893,0.42601,0.30207,1.62638,0.99578,0.94159,0.98418,0.91531,0.4446,0.3484,1.47717,0.000775822,0.000775822,0.000775822
56,295.765,0.42687,0.3159,1.68936,0.97694,0.97828,0.97997,0.91017,0.39669,0.32896,1.45409,0.000759318,0.000759318,0.000759318
57,300.666,0.44759,0.32059,1.65052,0.91796,0.94667,0.97022,0.90672,0.39348,0.34504,1.37736,0.000742815,0.000742815,0.000742815
58,305.477,0.44031,0.32585,1.6108,0.99232,1,0.995,0.92608,0.41754,0.30564,1.39532,0.000726312,0.000726312,0.000726312
59,310.493,0.42656,0.31235,1.67023,0.98731,0.92667,0.98581,0.90655,0.44883,0.37818,1.40381,0.000709809,0.000709809,0.000709809
60,315.457,0.41595,0.30183,1.60342,0.98781,0.94,0.98978,0.92062,0.44632,0.36341,1.4107,0.000693305,0.000693305,0.000693305
61,320.232,0.42452,0.3137,1.64682,0.96083,0.92667,0.97814,0.91823,0.40281,0.37658,1.46972,0.000676802,0.000676802,0.000676802
62,325.033,0.42174,0.30338,1.65195,0.96285,0.94,0.97919,0.91648,0.42783,0.38891,1.43341,0.000660299,0.000660299,0.000660299
63,329.863,0.42645,0.30088,1.62747,0.90348,0.94403,0.97348,0.9269,0.39621,0.43304,1.40413,0.000643795,0.000643795,0.000643795
64,334.942,0.4221,0.29421,1.65279,0.99384,0.96,0.98182,0.92464,0.40735,0.33353,1.35897,0.000627292,0.000627292,0.000627292
65,339.768,0.4144,0.29632,1.61621,0.99197,0.98,0.99423,0.9272,0.41088,0.2964,1.32192,0.000610789,0.000610789,0.000610789
66,344.719,0.41241,0.29069,1.61631,0.9866,0.96667,0.99147,0.90851,0.42407,0.31031,1.32447,0.000594286,0.000594286,0.000594286
67,349.552,0.40911,0.28654,1.62555,0.95798,0.93241,0.96714,0.9168,0.37573,0.37763,1.40207,0.000577782,0.000577782,0.000577782
68,354.464,0.40621,0.28984,1.62333,0.97101,0.94289,0.99352,0.92962,0.38977,0.35745,1.39315,0.000561279,0.000561279,0.000561279
69,359.44,0.40069,0.29738,1.63022,0.99278,0.9789,0.99423,0.92953,0.38833,0.28645,1.43913,0.000544776,0.000544776,0.000544776
70,364.281,0.41388,0.29459,1.63863,1,0.99135,0.995,0.92821,0.40628,0.28642,1.40455,0.000528272,0.000528272,0.000528272
